Age,C/N,d13C,d15N,TC,Bsi,MS
-50,7.38,-20.33,-1.22,12.13,89.8,36.17
-30,7.32,-20.23,-1.12,11.5,91.7,27.37
-10,7.26,-20.13,-1.02,10.87,93.6,18.57
10,7.21,-20.03,-0.93,10.23,93.9,10.1
30,7.19,-20,-0.84,9.57,92.3,9.25
50,7.28,-20.14,-0.78,8.83,90.3,14.81
70,7.44,-20.4,-0.74,8.05,89.6,21.53
90,7.53,-20.5,-0.69,7.66,90.1,30.63
110,7.49,-20.43,-0.62,8.02,90.8,37.34
130,7.43,-20.28,-0.55,8.6,91.3,30.66
150,7.8,-20.84,-0.39,8.47,91.6,44.62
170,8.53,-22.02,-0.15,7.76,89.2,51.92
190,9.11,-22.88,0.01,7.69,85.5,36.27
210,9.26,-23.1,0.01,7.97,86.2,24.76
230,9.22,-23.04,-0.15,7.84,88.4,21.03
250,9.22,-23.06,-0.18,7.4,87.2,26.98
270,9.21,-23.04,-0.08,7.08,85.8,32.79
290,9.15,-22.94,-0.07,6.97,87.6,32.95
310,9.1,-22.77,-0.12,7.07,90.7,36.19
330,9.09,-22.64,-0.14,7.1,93.6,29.45
350,9.1,-22.66,-0.12,6.88,95.2,31.22
370,9.12,-22.7,-0.09,6.7,95,30.47
390,9.16,-22.7,-0.11,6.79,94.5,27.13
410,9.18,-22.7,-0.15,6.98,95.1,27.09
430,9.1,-22.64,-0.24,7.07,98.2,32.54
450,9.08,-22.47,-0.31,6.91,103.8,28.28
469,9.01,-22.15,-0.34,6.72,107.5,21.15
489,8.84,-21.88,-0.36,6.66,107.1,20.36
509,8.93,-21.98,-0.34,6.54,105.3,22.62
529,9,-22.04,-0.34,6.45,104.3,21.24
549,8.91,-21.88,-0.39,6.47,104,17.49
569,8.83,-21.8,-0.43,6.48,104,21.57
589,8.81,-21.86,-0.45,6.41,104,22.26
609,8.85,-21.96,-0.44,6.27,104,17.67
629,8.9,-22.06,-0.42,6.11,104,20.99
649,8.95,-22.16,-0.35,6,104,31.66
669,8.99,-22.2,-0.28,5.91,104,32.97
689,8.97,-22.14,-0.24,5.72,104,26.85
709,8.91,-22.04,-0.25,5.52,104,24.93
729,8.86,-21.88,-0.31,5.57,104,26.51
749,8.85,-21.68,-0.39,5.83,104.2,26.3
769,8.97,-21.72,-0.42,6.01,104.6,25.4
789,9.22,-21.98,-0.39,6.11,105.2,29.16
809,9.38,-22.16,-0.36,6.17,105.8,31.72
829,9.16,-21.83,-0.41,6.18,106.5,40.32
849,8.71,-21.17,-0.49,6.17,106.9,43.51
869,8.42,-20.72,-0.55,6.11,107,40.62
889,8.39,-20.6,-0.55,5.97,107.1,37.88
909,8.49,-20.66,-0.53,5.79,107.7,48.12
929,8.55,-20.7,-0.53,5.6,108.7,42.75
949,8.56,-20.7,-0.55,5.39,109.6,38.13
969,8.55,-20.7,-0.58,5.18,110.3,30.95
989,8.41,-20.7,-0.57,5.18,110.8,20.19
"1,009.00",8.17,-20.7,-0.53,5.39,111.6,18.28
"1,029.00",8.08,-20.58,-0.54,5.57,112.7,19.07
"1,049.00",8.07,-20.44,-0.56,5.59,114,16.86
"1,069.00",8.02,-20.58,-0.52,5.25,113.7,14.33
"1,089.00",8.07,-20.82,-0.52,4.62,107.9,13.86
"1,109.00",8.24,-20.96,-0.52,4.15,99.9,21.14
"1,129.00",8.34,-21.06,-0.48,4.13,96.6,26.87
"1,149.00",8.29,-21.1,-0.41,4.59,98.1,20.97
"1,169.00",8.14,-20.98,-0.39,4.97,103.3,14.93
"1,189.00",7.95,-20.72,-0.43,4.97,109.1,18.37
"1,209.00",7.76,-20.42,-0.5,4.85,112.2,21.63
"1,229.00",7.65,-20.12,-0.57,4.93,113.8,25.7
"1,249.00",7.59,-19.83,-0.63,5.16,115,28.22
"1,269.00",7.55,-19.58,-0.68,5.33,115.8,21.82
"1,289.00",7.55,-19.56,-0.68,5.31,116.5,24.74
"1,309.00",7.57,-19.66,-0.67,5.19,117.3,31.96
"1,329.00",7.59,-19.76,-0.65,5.08,118.6,34.91
"1,349.00",7.6,-19.86,-0.63,5.13,120.1,30.68
"1,369.00",7.59,-19.9,-0.6,5.32,121.4,26.05
"1,389.00",7.58,-19.96,-0.57,5.55,122.6,23.03
"1,409.00",7.61,-20.06,-0.54,5.73,123.7,17.11
"1,429.00",7.72,-20.21,-0.51,5.77,124.7,14.52
"1,449.00",7.86,-20.41,-0.48,5.72,125.4,12.97
"1,468.00",8.01,-20.61,-0.45,5.67,124.8,12.75
"1,488.00",8.14,-20.81,-0.42,5.63,123.3,14.95
"1,508.00",8.2,-20.84,-0.42,5.6,121.7,15.72
"1,528.00",8.18,-20.74,-0.45,5.58,120.2,20.71
"1,548.00",8.15,-20.64,-0.48,5.57,119.5,29.63
"1,568.00",8.12,-20.6,-0.51,5.56,119.9,25.53
"1,588.00",8.06,-20.54,-0.52,5.54,120.7,18.34
"1,608.00",7.97,-20.5,-0.49,5.51,121.4,21.7
"1,628.00",7.87,-20.5,-0.44,5.47,122.1,20.88
"1,648.00",7.77,-20.5,-0.4,5.43,122.7,17.38
"1,668.00",7.71,-20.5,-0.37,5.46,123.2,16.58
"1,688.00",7.68,-20.44,-0.38,5.56,123.7,16.14
"1,708.00",7.66,-20.34,-0.38,5.66,124,15.92
"1,728.00",7.67,-20.24,-0.4,5.74,124,16.15
"1,748.00",7.78,-20.04,-0.48,5.81,124,16.74
"1,768.00",7.97,-19.68,-0.6,5.85,125.1,13.86
"1,788.00",8.07,-19.5,-0.67,5.87,127.1,16.46
"1,808.00",8.04,-19.55,-0.68,5.85,129.1,19.26
"1,828.00",7.97,-19.65,-0.66,5.82,131.1,19.9
"1,848.00",7.98,-19.7,-0.67,5.77,132.5,20.05
"1,868.00",8.04,-19.7,-0.69,5.7,133.5,14.5
"1,888.00",8.11,-19.75,-0.71,5.62,134,10.43
"1,908.00",8.15,-19.8,-0.72,5.61,134,10.99
"1,928.00",8.14,-19.8,-0.74,5.68,134,30.19
"1,948.00",8.13,-19.8,-0.74,5.78,133.5,41.68
