Age,C/N,d13C,d15N,TC,Bsi,MS
-30,13.29,-28.09,2.04,1.48,67,-553
-10,12.98,-27.99,2.06,1.19,60.71,211
10,14.03,-27.89,2.08,1.33,54.85,553
30,12.85,-27.79,2.09,1.18,50.38,612
50,12.06,-27.69,2.11,1.21,62.19,619
70,13.99,-27.58,2.13,1.33,57.85,548
90,12.65,-27.48,2.14,1.23,40.74,571
110,11.46,-27.38,2.16,1.29,46.81,631
130,11.47,-27.28,2.18,1.61,41.14,604
150,11.58,-27.18,2.19,1.7,54.91,581
170,12.18,-27.08,2.21,1.49,52.28,674
190,11.95,-26.99,2.22,2.14,51.91,563
210,12.06,-26.95,2.23,1.96,46.47,557
230,12.59,-26.92,2.23,1.75,68.59,580
250,11.33,-26.89,2.23,1.47,73.38,616
270,11.36,-26.86,2.23,1.37,64.2,669
290,11.84,-26.83,2.23,1.35,51.78,680
310,11.72,-26.79,2.23,1.34,59.48,584
330,11.69,-26.76,2.23,1.96,52.29,638
350,11.19,-26.73,2.23,1.74,53.69,664
370,11.15,-26.7,2.23,1.38,52.52,674
390,11.09,-26.67,2.24,1.45,50.53,706
410,11.5,-26.65,2.28,1.41,45.61,747
430,12.7,-26.63,2.34,1.84,37.66,691
450,13.33,-26.61,2.39,1.56,40.95,753
469,12.99,-26.59,2.44,1.86,43.27,668
489,13.25,-26.57,2.5,1.4,60.38,676
509,12.03,-26.55,2.55,1.32,54.23,601
529,13.13,-26.53,2.6,1.16,65.69,744
549,13.55,-26.51,2.65,1.47,61.85,689
569,12.77,-26.49,2.71,1.6,62.87,666
589,13.39,-26.48,2.75,1.53,63.9,657
609,11.9,-26.5,2.71,1.34,55.68,681
629,11.49,-26.52,2.65,1.19,61.23,752
649,13.49,-26.54,2.6,1.12,55.22,809
669,10.98,-26.57,2.55,1.19,61.99,745
689,11.33,-26.59,2.5,1.14,59.4,775
709,11.46,-26.62,2.44,1.42,53.2,703
729,11.87,-26.64,2.39,1.43,61.89,540
749,11.01,-26.66,2.34,1.12,60.67,710
769,11.08,-26.69,2.29,1.24,59.3,727
789,11.39,-26.71,2.23,1.31,53.91,755
809,11.88,-26.74,2.18,1.05,50.66,789
829,11.74,-26.76,2.13,1.26,61.32,787
849,10.4,-26.75,2.08,1.17,52.26,761
869,10.73,-26.55,2.05,1.28,57.99,728
889,10.77,-26.36,2.03,1.62,50.02,715
909,9.67,-26.43,2.04,1.46,56.85,709
929,9.59,-26.54,2.06,1.35,51.36,702
949,11.4,-26.65,2.08,1.18,47.27,731
969,11.6,-26.76,2.1,1.22,67.36,746
989,11.57,-26.88,2.11,1.24,51.58,736
"1,009.00",11.52,-26.99,2.13,1.3,39.18,733
"1,029.00",11.42,-27.1,2.15,1.3,47.6,713
"1,049.00",11.32,-27.21,2.17,1.16,47.76,687
"1,069.00",11.21,-27.32,2.19,1.3,38.25,657
"1,089.00",11.3,-27.41,2.2,1.45,38.33,626
"1,109.00",11.76,-27.36,2.23,1.85,34.49,644
"1,129.00",13.15,-27.3,2.26,1.9,42.93,665
"1,149.00",12.47,-27.23,2.29,1.19,53.16,750
"1,169.00",11.21,-27.16,2.32,1.21,45.44,770
"1,189.00",10.53,-27.1,2.35,0.96,37.17,797
"1,209.00",11.47,-27.03,2.38,0.92,48.33,588
"1,229.00",11.19,-26.97,2.41,1.08,50.67,600
"1,249.00",11.66,-26.9,2.44,1.39,44.93,743
"1,269.00",11.69,-26.83,2.47,1.3,50.53,759
"1,289.00",10.8,-26.76,2.49,1.59,40.87,763
"1,309.00",11.36,-26.68,2.46,1.63,39.26,779
"1,329.00",12.05,-26.6,2.42,1.38,43.46,692
"1,349.00",12.11,-26.52,2.38,1.43,58.76,509
"1,369.00",11.44,-26.44,2.34,1.33,59.55,496
"1,389.00",10.76,-26.36,2.3,1.26,56.15,498
"1,409.00",10.12,-26.27,2.26,1.18,52.6,501
"1,429.00",10.15,-26.19,2.23,1.17,49.99,616
"1,449.00",10.52,-26.11,2.19,1.42,50.94,668
"1,468.00",10.23,-26.03,2.15,1,49.45,727
"1,488.00",9.84,-25.96,2.12,1.03,49.08,753
"1,508.00",9.64,-25.95,2.12,1.14,55.61,753
"1,528.00",9.92,-25.95,2.13,1.19,48.73,778
"1,548.00",9.76,-25.95,2.14,1.03,53.14,770
"1,568.00",9.38,-25.95,2.16,1.09,50.49,747
"1,588.00",9.35,-25.95,2.17,1.09,51.99,778
"1,608.00",9.36,-25.95,2.18,0.95,45.65,831
"1,628.00",9.41,-25.95,2.19,0.97,42.19,839
"1,648.00",9.81,-25.95,2.2,1.1,52.62,781
"1,668.00",9.74,-25.95,2.21,1.15,59.87,764
"1,688.00",9.73,-25.95,2.22,1.14,58.72,787
"1,708.00",9.85,-25.95,2.21,1.03,54.96,788
"1,728.00",9.59,-25.96,2.2,1.05,57.55,787
"1,748.00",9.5,-25.97,2.19,0.79,42.81,785
"1,768.00",9.47,-25.98,2.18,0.85,39.13,821
"1,788.00",9.44,-25.99,2.17,1.02,56.04,800
"1,808.00",9.4,-26,2.15,1.06,63.56,768
"1,828.00",9.37,-26.01,2.14,1.13,66.27,795
"1,848.00",9.34,-26.02,2.13,0.92,46.38,815
"1,868.00",9.31,-26.03,2.12,1.11,63.51,786
"1,888.00",9.27,-26.04,2.11,1.06,53.58,843
"1,908.00",9.24,-26.08,2.13,1.01,50.26,876
"1,928.00",9.21,-26.12,2.15,1.11,67.11,842
"1,948.00",9.18,-26.16,2.17,0.95,57.49,851
"1,968.00",9.14,-26.2,2.2,0.77,44.34,893
"1,988.00",9.11,-26.24,2.22,1.12,41.62,892
"2,008.00",9.08,-26.29,2.24,1.15,63.1,837
"2,028.00",9.04,-26.33,2.26,1.12,62.02,829
"2,048.00",8.96,-26.37,2.28,1.19,58.08,805
"2,068.00",8.68,-26.41,2.31,1.25,64.26,793
"2,088.00",8.62,-26.44,2.33,1.03,54.34,823
