Age,C/N,d13C,d15N,TC,Bsi,MS
-50,11.8,-24.14,-0.53,0.15,8.15,269
-30,10.89,-24.35,0.6,0.17,8.42,275
-10,12.27,-23.71,0.44,0.16,7.56,277
10,12.07,-23.75,1.04,0.2,8.22,276
30,13.33,-24.31,1.08,0.25,8.07,274
50,12.97,-24.82,0.96,0.3,7.34,272
70,12.35,-24.83,1.21,0.27,7.7,270
90,12.64,-24.81,1.52,0.3,7.8,267
110,12.14,-24.95,1.28,0.35,7.47,266
130,11.88,-24.77,1.36,0.4,8.8,269
150,11.42,-25.05,1.63,0.34,7.84,276
170,11.43,-25.37,1.33,0.31,7.69,287
190,11.65,-25.31,1.42,0.41,7.66,299
210,11.72,-24.93,1.37,0.65,6.68,311
230,12.06,-24.8,1.39,0.85,7.31,322
250,12.38,-24.55,1.49,0.95,5.57,332
270,11.84,-25.04,1.43,0.52,4.79,342
290,12.47,-25.44,1.61,0.42,5.57,350
310,11.56,-25.55,1.82,0.41,7.48,355
330,11.55,-25.54,2.39,0.34,7.96,355
350,11.62,-25.08,2.89,0.25,5.88,353
370,11.44,-25,2.77,0.24,6.55,349
390,10.95,-24.79,3.12,0.16,6.76,347
410,10.94,-24.68,3.86,0.13,6.77,346
430,10.2,-24.8,3.71,0.14,6.59,347
450,10.09,-24.92,2.44,0.15,6.14,350
469,11.4,-25.17,1.91,0.16,6.16,356
489,11.69,-25.07,2.51,0.13,5.28,371
509,10.49,-25.05,2.06,0.1,4.87,377
529,10.46,-25.17,1.1,0.11,5.18,381
549,10.72,-25.39,1.75,0.12,5.28,382
569,10.88,-25.57,1.56,0.14,5.65,375
589,10.76,-25.68,1.34,0.16,5.35,370
609,9.01,-25.46,1.93,0.29,5.21,366
629,8.47,-25.15,1.68,0.34,5.33,368
649,9.43,-25.17,1.73,0.43,5.45,364
669,8.37,-25.53,3.16,0.23,5.57,358
689,9.47,-25.47,1.85,0.25,5.69,351
709,9.49,-25.79,2,0.29,5.82,345
729,7.89,-25.52,2.15,0.25,5.9,341
749,7.65,-25.74,2.37,0.27,5.66,334
769,8.29,-25.75,2.84,0.24,6.11,339
789,7.93,-25.9,2.55,0.29,5.77,342
809,8.76,-25.73,2.3,0.35,5.88,339
829,9.46,-25.71,1.91,0.38,5.27,327
849,8.92,-25.83,1.87,0.25,4.67,324
869,9.63,-25.66,1.76,0.31,5.21,333
889,7.97,-25.76,1.91,0.2,5.44,336
909,8.52,-25.63,1.78,0.36,5.48,335
929,8.65,-25.54,1.82,0.36,5.92,336
949,8.29,-25.61,1.44,0.26,7.29,337
969,7.2,-25.78,1.4,0.14,8.07,337
989,7.63,-25.63,1.45,0.13,7.02,347
"1,009.00",7.8,-25.75,2.21,0.13,6.41,356
"1,029.00",7.77,-25.61,2.36,0.15,6.47,373
"1,049.00",8.51,-25.1,1.76,0.15,7,379
"1,069.00",10.33,-25.23,2.48,0.18,11.66,375
"1,089.00",10.28,-24.99,3.76,0.3,10.59,364
"1,109.00",8.86,-24.38,2.85,0.21,7.62,362
"1,129.00",9.54,-24.59,3.09,0.2,6.79,355
"1,149.00",8.62,-24.63,2.44,0.21,7.74,337
"1,169.00",8.89,-25.05,2.6,0.27,8.54,330
"1,189.00",9.5,-25.63,3.94,0.17,8.02,319
"1,209.00",8.34,-25.67,3.08,0.16,7.66,313
"1,229.00",9.34,-25.22,3.65,0.12,7.77,298
"1,249.00",8.95,-25.55,3.33,0.11,7.89,292
"1,269.00",9.56,-26.01,2.01,0.15,8,289
"1,289.00",10.04,-25.55,2.06,0.29,7.63,289
"1,309.00",9.86,-24.81,2.13,0.42,7.21,292
"1,329.00",9.8,-25.11,1.69,0.5,7.18,294
"1,349.00",11.16,-24.96,1.42,0.95,6.66,291
"1,369.00",10.21,-25.41,1.63,0.87,6.84,288
"1,389.00",8.5,-25.25,2.46,0.2,6.7,283
"1,409.00",7.6,-25.08,2.01,0.25,6.72,283
"1,429.00",7.12,-25.49,2.71,0.18,6.97,284
"1,449.00",5.41,-25.38,2.34,0.14,9.48,283
"1,468.00",6.05,-25.63,2.98,0.2,8.19,279
"1,488.00",6.18,-26.08,1.65,0.15,7.64,275
"1,508.00",7.63,-26.03,1.01,0.15,7.03,261
"1,528.00",7.27,-25.8,1.54,0.15,7.25,254
"1,548.00",7.34,-26.1,2.15,0.09,5.48,250
"1,568.00",8.36,-25.91,2.53,0.13,6.01,257
"1,588.00",6.9,-26.15,2.65,0.15,5.6,263
"1,608.00",7.31,-25.61,2.53,0.16,6.98,268
"1,628.00",6.79,-25.68,2.4,0.11,6.49,271
"1,648.00",6.41,-25.58,2.92,0.11,6.87,275
"1,668.00",5.02,-25.76,3.59,0.11,7.26,278
"1,688.00",6.18,-25.03,4.15,0.13,7.64,280
"1,708.00",7.83,-25.64,3.19,0.16,8.01,280
"1,728.00",7.12,-25.61,2.71,0.15,7.18,273
"1,748.00",6.33,-25.99,2.74,0.18,9.26,266
"1,768.00",6.27,-25.72,2.33,0.19,9.35,259
"1,788.00",6.73,-25.67,1.68,0.25,8.85,255
"1,808.00",6.5,-25.71,2.06,0.22,8.26,261
"1,828.00",6.14,-25.78,2.16,0.19,7.51,267
"1,848.00",6.65,-25.62,1.79,0.24,7.07,270
"1,868.00",7.58,-25.44,1.57,0.31,7.32,271
"1,888.00",6.77,-25.57,1.72,0.24,7.13,268
"1,908.00",6.48,-25.52,1.75,0.21,6.4,318
"1,928.00",6.15,-25.77,1.68,0.21,6.74,315
"1,948.00",6.65,-24.99,1.48,0.24,7.75,308
"1,968.00",7.21,-25.7,1.57,0.3,7.66,301
"1,988.00",6.34,-25.51,1.44,0.18,7.17,297
"2,008.00",7.3,-25.4,1.38,0.34,6.67,303
"2,028.00",5.72,-25.95,1.8,0.17,6.29,311
"2,048.00",7.19,-25.78,1.75,0.28,6.12,318
"2,068.00",8.29,-26.11,2.96,0.13,5.94,324
"2,088.00",5.82,-25.91,2,0.14,5.76,343
"2,108.00",6.61,-25.63,1.46,0.32,5.83,350
"2,128.00",5.73,-25.81,1.5,0.22,6.08,348
"2,148.00",6.61,-25.87,1.72,0.32,6.13,343
"2,168.00",8.33,-25.86,1.87,0.25,6.15,332
"2,188.00",6.17,-25.74,1.5,0.28,6.32,330
"2,208.00",5.73,-26.08,1.86,0.23,6.76,331
"2,228.00",6.86,-25.95,1.82,0.27,7.82,337
"2,248.00",7.36,-25.84,2.33,0.25,8.12,338
"2,268.00",4.98,-26.11,2.27,0.2,7.55,334
"2,288.00",4.63,-26.09,1.91,0.18,6.75,329
"2,308.00",4.75,-26.02,1.98,0.19,7.23,316
"2,328.00",5.49,-25.86,1.82,0.28,7.55,304
"2,348.00",6.42,-25.37,1.49,0.38,7.67,292
"2,368.00",5.06,-25.87,1.65,0.18,7.05,292
"2,388.00",6.54,-25.78,1.61,0.37,6.31,300
"2,408.00",5.91,-25.63,1.67,0.26,6.39,307
"2,428.00",5.37,-25.98,1.45,0.26,6.59,320
"2,448.00",5.23,-25.5,1.54,0.23,6.75,329
"2,467.00",5.7,-25.56,1.33,0.28,7.2,338
"2,487.00",5.87,-25.52,1.5,0.33,7.24,355
"2,507.00",5.24,-25.52,1.77,0.17,6.77,360
"2,527.00",5.26,-25.48,1.73,0.22,6.91,364
"2,547.00",5.55,-25.46,2.01,0.22,7.12,357
"2,567.00",5.06,-25.61,1.66,0.2,6.23,346
"2,587.00",5.57,-25.73,1.63,0.25,5.63,333
"2,607.00",5.62,-26.2,1.34,0.3,6.38,328
"2,627.00",5.69,-26.2,1.53,0.29,7.08,330
"2,647.00",5.84,-25.78,1.43,0.29,7.56,328
"2,667.00",5.88,-25.73,1.53,0.22,6.3,323
"2,687.00",6.21,-26.08,1.41,0.26,6.28,324
"2,707.00",6.83,-25.84,1.21,0.36,6.31,324
"2,727.00",7.29,-25.76,1.46,0.37,5.71,324
"2,747.00",7.84,-25.9,0.96,0.48,5.04,326
"2,767.00",7.58,-26.05,1.48,0.47,4.63,328
"2,787.00",7.5,-25.92,1.37,0.41,5.75,331
"2,807.00",8.03,-25.81,1.03,0.49,5.86,328
"2,827.00",7.48,-26.54,1.21,0.33,5.8,321
"2,847.00",8.15,-26.41,0.98,0.47,5.85,313
