d13C,d15N,Age
-25.7,3.64,-57
-26.2,2.06,185
-27.2,3.48,421
-30.1,2.29,644.5
-29.4,2.36,856
-26.7,2.05,1254
-26.5,2.54,1638
-26.7,2.42,2031
-26.2,2.54,2456
-26.8,2.36,2914
-27.1,2.45,3375
-26,2.27,3821
-25.5,2.16,4242
-29.7,2.36,4440
-26.4,1.55,4629
-25.6,2.38,4807.5
-25.2,2.84,4974
-28.3,1.04,5126.5
-28.3,2.76,5389.5
-23.9,2.38,5500
-30.1,2.43,5598
-25.1,3.04,5765.5
-24.5,2.65,5838
-24.3,2.71,5906
-23.5,2.54,5969
-22.9,2.37,6087
-22.8,2.69,6196
-22.5,2.53,6303
-22.6,2.59,6410
-21.7,2.74,6517
-20.8,2.70,6730
-18.9,2.24,6837
-17.5,4.81,6943
-19.5,5.18,7050
-20.4,2.99,7157
