Age,C/N,d13C,d15N,TC,Bsi,MS
-50,12.23,-26.19,1.97,7.16,70.47,22.12
-30,12.03,-26.16,1.98,6.98,72.19,32.97
-10,11.81,-26.07,1.95,6.58,73.91,40.26
10,11.61,-25.97,1.91,6.16,75.63,46.27
30,11.56,-25.92,1.83,5.94,77.36,49.87
50,11.52,-25.89,1.77,5.76,78.59,52.69
70,11.41,-25.89,1.89,5.66,77.39,53.64
90,11.33,-25.9,1.99,5.6,75.86,54.68
110,11.36,-25.96,1.95,5.65,74.32,56.95
130,11.42,-26.02,1.9,5.73,72.78,59.17
150,11.5,-26.07,1.88,5.84,71.25,60.82
170,11.58,-26.12,1.85,5.95,70.43,62.04
190,11.62,-26.15,1.8,6.07,71.77,62.11
210,11.63,-26.16,1.78,6.12,73.25,62.2
230,11.58,-26.11,1.87,5.93,74.74,62.59
250,11.52,-26.07,1.93,5.75,76.23,63.25
270,11.47,-26.06,1.92,5.68,77.71,64.65
290,11.41,-26.06,1.88,5.55,78.58,66.4
310,11.3,-26.07,1.8,5.18,77.2,69.26
330,11.24,-26.08,1.72,4.9,75.62,72.49
350,11.46,-26.12,1.65,5.08,74.03,76.91
370,11.7,-26.15,1.61,5.36,72.45,81.75
390,11.83,-26.16,1.75,6,70.86,88.43
410,11.93,-26.16,1.91,6.64,69.53,95.26
430,11.77,-26.05,1.79,6.55,71.67,99.77
450,11.54,-25.92,1.58,6.23,74.9,103.43
469,11.44,-25.79,1.53,5.92,78.12,101.75
489,11.41,-25.68,1.56,5.62,81.35,97.23
509,11.45,-25.68,1.6,5.61,84.58,94.36
529,11.57,-25.78,1.64,5.87,87.81,92.98
549,11.6,-25.82,1.68,6.01,88.84,92.2
569,11.45,-25.74,1.71,5.92,85.67,92.55
589,11.34,-25.66,1.73,5.82,82.39,92.14
609,11.39,-25.53,1.72,5.64,79.11,88.12
629,11.47,-25.42,1.7,5.47,75.83,83.6
649,11.7,-25.57,1.73,5.51,72.55,78.52
669,11.97,-25.79,1.78,5.61,69.28,73.3
689,12.18,-25.95,1.79,6.02,67.47,70.2
709,12.35,-26.07,1.78,6.63,66.6,68.48
729,12.35,-26.11,1.82,6.84,65.73,67.55
749,11.99,-25.98,1.98,6.25,64.86,68.18
769,11.68,-25.88,2.12,5.69,63.99,68.69
789,11.73,-25.93,2.12,5.36,63.12,68.2
809,11.84,-25.99,2.09,5.08,62.29,67.62
829,11.95,-26.03,1.99,5.04,62.5,69.1
849,12.07,-26.06,1.85,5.12,63.22,71.57
869,12.08,-26.04,1.8,5.22,63.93,70.78
889,11.94,-25.94,1.87,5.37,64.65,65.32
909,11.84,-25.87,1.93,5.52,65.36,60.51
