Age,C/N,d13C,d15N,TC,Bsi,MS
-50,9.67,-21.68,-0.05,8.52,106.88,25.31
-30,9.58,-21.1,-0.09,9.32,106.11,29.87
-10,9.73,-21.1,-0.07,9.79,105.34,33.95
10,10.01,-21.61,0,9.66,104.39,37.31
30,9.64,-21.32,-0.05,8.82,102.53,40.06
50,9.55,-21.51,0.03,8.38,96.46,42.33
70,9.61,-21.77,0.09,8.52,92.97,43.97
90,9.63,-21.69,0,9.15,97.4,44.8
110,9.62,-21.73,0,9.2,100.63,45.29
130,9.58,-21.73,0.09,9.27,105.65,45.85
150,9.54,-21.73,0.06,9.25,107.6,46.58
170,9.52,-21.84,-0.09,8.99,105.09,47.48
190,9.48,-22.14,0.13,8.58,108.09,48.34
210,9.43,-22.43,0.18,8.07,108.33,48.74
230,9.43,-22.85,0.33,8.52,106.57,48.75
250,9.9,-22.94,0.24,9.06,107.88,48.44
270,10.04,-22.53,0.01,9.1,108.81,47.99
290,9.61,-22.08,0.01,8.79,105.41,47.65
310,9.48,-21.96,0.07,8.66,104.27,47.21
330,9.52,-21.85,-0.16,8.82,109.3,46.47
350,9.45,-21.61,-0.23,8.7,112.52,45.95
370,9.54,-21.25,-0.21,8.81,114.09,44.8
390,9.36,-20.52,-0.24,8.73,112.03,42.92
410,9.21,-19.96,-0.3,8.75,116.34,40.48
430,9.26,-20.09,-0.33,8.59,117.79,37.82
450,9.57,-19.93,-0.56,9.52,112.93,35.84
469,9.69,-19.83,-0.66,10.19,116.08,34.94
489,9.63,-20.37,-0.41,10,116.27,34.69
509,9.47,-20.15,-0.29,9.84,111.85,34.13
529,9.2,-19.98,-0.45,9.36,112.25,32.71
549,8.95,-19.66,-0.49,9.17,108.22,31.27
569,8.98,-19.31,-0.61,9.26,124.33,30.6
589,9.08,-19.16,-0.7,9.4,116.9,30.91
609,9.01,-19.28,-0.54,9.17,111.12,32.08
629,9.21,-19.55,-0.53,8.74,109.21,34.16
649,9.01,-20.11,-0.51,8.32,111.15,37.12
669,9.09,-20.59,-0.57,7.31,106.35,40.34
689,9.09,-20.79,-0.76,7.19,114.5,41.78
709,8.91,-19.82,-0.7,6.94,108.58,40.74
729,8.55,-19.16,-0.58,6.37,120.75,38.76
749,8.49,-18.88,-0.59,6.65,125.09,37.29
769,8.56,-18.68,-0.63,7.27,120.87,37.71
789,8.38,-18.83,-0.41,6.81,117.02,40.91
809,8.8,-19.23,-0.61,6.03,110.55,47.44
829,8.62,-18.74,-0.61,7.85,118.78,44.3
849,8.36,-18.55,-0.58,8.55,127.95,36.73
869,8.29,-18.57,-0.57,8.6,131.27,31.85
889,8.33,-18.56,-0.49,8.48,128.59,29.87
909,8.43,-18.36,-0.52,8.6,123.47,29.74
929,8.47,-18.5,-0.58,8.45,124.83,30.16
949,8.68,-18.78,-0.59,8.59,127.48,30.69
969,9.44,-19.79,-0.61,9.14,131.62,31.68
989,8.74,-18.96,-0.57,8.66,128.1,32.65
"1,009.00",8.37,-18.1,-0.7,8.02,134.37,32.36
"1,029.00",8.1,-17.61,-0.66,7.78,123.35,30.62
"1,049.00",8.05,-17.77,-0.64,8.03,124.46,29.58
"1,069.00",8.02,-17.66,-0.69,7.8,127.19,30.09
"1,089.00",7.96,-17.5,-0.61,7.08,119.52,31.93
"1,109.00",7.99,-17.41,-0.62,7.13,125.37,33.35
"1,129.00",8.07,-17.52,-0.69,6.34,123.25,34.57
"1,149.00",8.13,-17.38,-0.63,8.3,121.41,34.93
"1,169.00",8.31,-17.6,-0.6,9.21,141.09,34.07
"1,189.00",8.15,-17.3,-0.57,8.59,143.39,33.07
"1,209.00",8.14,-17.3,-0.43,8.77,136.63,32.57
"1,229.00",8.16,-17.35,-0.56,9.59,134.25,32.32
"1,249.00",8.06,-17.58,-0.52,9.1,128.65,31.46
"1,269.00",8.05,-17.38,-0.51,8.58,132.28,29.73
"1,289.00",8.13,-17.53,-0.56,7.91,134.31,27.88
"1,309.00",8.15,-17.53,-0.56,8.25,128.64,26.47
"1,329.00",8.13,-17.28,-0.58,9.11,125.58,25.44
"1,349.00",8,-17.25,-0.53,9.03,128.53,24.48
"1,369.00",7.97,-17.21,-0.47,9.23,132.82,23.63
"1,389.00",8.01,-17.17,-0.55,9.3,133.47,22.99
"1,409.00",8.01,-17.13,-0.63,8.91,133.59,22.65
"1,429.00",8.09,-17.13,-0.65,8.97,134.8,22.66
"1,449.00",8.08,-17.18,-0.58,8.96,133.65,22.85
"1,468.00",8.03,-17.26,-0.62,9.04,133.14,22.93
"1,488.00",8.04,-17.17,-0.63,7.91,129.03,22.76
"1,508.00",8.13,-17.13,-0.68,7.73,128.41,22.37
"1,528.00",8.21,-17.09,-0.79,9.22,133.91,21.89
"1,548.00",8.11,-17,-0.67,9.01,136.04,21.43
"1,568.00",7.97,-17.12,-0.56,8.34,137.43,21.14
"1,588.00",7.91,-17.19,-0.63,7.6,137.35,21.2
"1,608.00",7.84,-17.18,-0.61,8.25,138.11,21.67
"1,628.00",7.83,-17.13,-0.57,8.39,136.7,22.27
"1,648.00",7.98,-17.01,-0.72,8.71,132.73,22.22
"1,668.00",8.04,-16.84,-0.74,8.96,136.77,21.6
"1,688.00",7.98,-16.94,-0.69,8.87,136.55,20.87
"1,708.00",7.97,-16.99,-0.55,8.34,142.75,20.46
"1,728.00",7.97,-16.97,-0.55,8.31,140.6,20.19
"1,748.00",7.95,-16.95,-0.61,8.57,141.67,20.3
"1,768.00",7.92,-17.29,-0.64,8.3,139.06,20.94
"1,788.00",8,-17.55,-0.63,7.99,136.98,21.99
"1,808.00",8.07,-17.79,-0.58,7.49,140.89,23.27
"1,828.00",8.06,-17.74,-0.54,5.71,138.69,24.74
"1,848.00",8.06,-17.6,-0.61,6.35,119.91,25.58
"1,868.00",8.23,-17.54,-0.52,7.91,134.89,24.91
"1,888.00",8.17,-17.74,-0.51,8.23,136.57,23.55
"1,908.00",8.09,-17.83,-0.51,8.25,136.46,22.84
"1,928.00",8.07,-17.81,-0.5,7.97,132.47,22.94
"1,948.00",8.12,-17.73,-0.41,8.04,138.24,23.69
"1,968.00",8.18,-18.02,-0.47,8.15,138.36,25.01
"1,988.00",8.16,-17.96,-0.48,7.94,134.46,27
"2,008.00",8.01,-17.8,-0.5,7.68,134.83,28.94
"2,028.00",7.91,-17.92,-0.56,8.82,138.99,29.28
"2,048.00",7.93,-18.05,-0.52,8.61,138.2,28.12
"2,068.00",7.9,-18,-0.49,7.74,137.84,26.98
"2,088.00",7.99,-17.55,-0.54,8.14,139.78,26.59
"2,108.00",8.08,-17.45,-0.55,7.92,139.03,26.54
"2,128.00",8.1,-18.1,-0.51,7.27,136.02,26.01
"2,148.00",8.21,-18.24,-0.49,7.84,134.44,24.89
"2,168.00",8.11,-17.9,-0.54,8.17,136.34,23.76
"2,188.00",8.19,-18.05,-0.52,8.57,136.77,23.02
"2,208.00",8.1,-18.01,-0.44,8.58,137.64,22.74
"2,228.00",7.97,-17.94,-0.43,8.39,133.4,22.74
"2,248.00",8.12,-17.85,-0.44,8.71,135.11,22.54
"2,268.00",8.04,-17.83,-0.52,8.46,133.22,22.14
"2,288.00",8.09,-17.81,-0.51,8.64,136.89,21.63
"2,308.00",8.06,-17.62,-0.34,8.77,137.15,21.13
"2,328.00",8.12,-17.79,-0.34,8.68,137.72,20.86
"2,348.00",8.09,-17.87,-0.35,8.66,134.87,20.98
"2,368.00",8.15,-17.76,-0.38,8.66,136.05,21.81
"2,388.00",8.19,-17.9,-0.37,8.45,135.69,23.7
"2,408.00",8.17,-18.18,-0.3,7.98,126.87,26.01
"2,428.00",8.15,-18.41,-0.26,7.65,124.13,27.32
"2,448.00",8.19,-18.59,-0.26,7.76,132.6,26.8
"2,467.00",8.21,-18.59,-0.27,7.98,133.69,25.25
"2,487.00",8.21,-18.28,-0.29,8.28,131.95,24
"2,507.00",8.25,-18.01,-0.27,8.62,128.22,23.28
"2,527.00",8.27,-17.97,-0.32,8.52,134.21,22.49
"2,547.00",8.28,-17.99,-0.36,8.35,140.94,22.42
"2,567.00",8.27,-18.32,-0.27,8.02,136.7,23.02
"2,587.00",8.24,-18.43,-0.3,7.87,133.37,23.68
"2,607.00",8.12,-18.4,-0.2,8.21,132.08,23.98
"2,627.00",8.01,-18.5,-0.13,8.21,130.74,24.08
"2,647.00",8.06,-18.72,-0.24,7.63,130.98,24.32
"2,667.00",8.14,-18.81,-0.3,7.68,134.64,24.72
"2,687.00",8.14,-18.75,-0.51,7.76,138.47,25.09
"2,707.00",8.1,-18.74,-0.59,7.64,131.47,25.67
"2,727.00",7.99,-18.69,-0.47,7.28,126.67,26.72
"2,747.00",8.03,-18.77,-0.34,7.13,126.65,28.28
"2,767.00",8.09,-18.97,-0.34,7.08,131.93,29.8
"2,787.00",8.18,-18.98,-0.35,7.05,135.38,30.48
"2,807.00",8.36,-18.71,-0.21,7.11,129.68,30.01
"2,827.00",8.07,-19.19,-0.19,6.73,133.14,29.36
"2,847.00",7.9,-19.27,-0.19,6.39,133.01,28.77
"2,867.00",7.97,-18.97,-0.12,6.47,131.29,28.24
"2,887.00",8.01,-18.85,-0.07,6.54,127.42,27.85
"2,907.00",7.99,-19.05,-0.09,6.48,125.86,27.83
"2,927.00",8.05,-19.23,-0.11,6.46,132.22,28.41
"2,947.00",7.96,-19.16,-0.16,5.97,128.22,29.42
"2,967.00",7.87,-18.81,-0.15,6.33,125.03,30.17
"2,987.00",7.87,-18.55,-0.17,6.59,119.79,30.25
"3,007.00",7.91,-18.5,-0.25,6.57,114.51,29.8
"3,027.00",7.91,-18.54,-0.36,6.54,114,29.45
"3,047.00",7.88,-18.52,-0.43,6.08,113.94,30
"3,067.00",7.87,-18.46,-0.4,7.34,120.97,29.86
"3,087.00",7.87,-18.47,-0.3,8.38,130.94,28.86
"3,107.00",7.88,-18.57,-0.19,8.22,138.35,27.31
"3,127.00",7.91,-18.61,-0.24,8.21,136.7,26.23
"3,147.00",7.94,-18.59,-0.36,8.21,134.27,25.96
"3,167.00",7.93,-18.58,-0.35,8.19,131.49,26.14
"3,187.00",8.03,-18.45,-0.33,8.51,128.43,26.45
"3,207.00",8.45,-18,-0.52,9.73,125.62,26.55
"3,227.00",8.11,-18.37,-0.46,9.08,125.17,26.13
"3,247.00",7.86,-18.83,-0.34,8.74,125.32,25.69
"3,267.00",7.87,-19.07,-0.25,8.95,126.8,25.35
"3,287.00",7.88,-18.9,-0.2,8.68,133.07,25.07
"3,307.00",7.93,-18.79,-0.17,8.54,139.77,24.94
"3,327.00",7.96,-18.76,-0.18,8.52,142.32,24.88
"3,347.00",7.96,-18.78,-0.23,8.59,138.44,24.89
"3,367.00",8,-18.63,-0.37,8.62,134.49,24.92
"3,387.00",7.99,-18.66,-0.39,8.5,133.17,24.97
"3,407.00",7.9,-18.87,-0.27,8.23,133.78,25.09
"3,427.00",7.76,-19.14,-0.09,7.8,134.36,25.47
"3,447.00",7.69,-19.32,-0.05,7.68,133.96,26
"3,467.00",7.69,-19.32,-0.11,7.9,133.14,26.47
"3,486.00",7.76,-19.04,-0.25,8.55,132.34,26.63
"3,506.00",7.74,-19.04,-0.32,8.72,131.97,26.51
"3,526.00",7.72,-19.23,-0.29,8.6,131.74,26.25
"3,546.00",7.75,-19.53,-0.16,8.32,131.72,25.93
"3,566.00",7.78,-19.24,-0.13,8.41,134.03,25.66
"3,586.00",7.75,-18.96,-0.16,8.48,136.97,25.35
"3,606.00",7.66,-18.96,-0.25,8.35,139.7,24.93
"3,626.00",7.68,-18.74,-0.26,8.37,140.25,24.42
"3,646.00",7.7,-18.54,-0.27,8.45,140.21,23.9
"3,666.00",7.68,-18.48,-0.29,8.57,140.11,23.44
"3,686.00",7.74,-18.35,-0.21,8.73,139.12,23.17
"3,706.00",7.79,-18.24,-0.13,8.87,137.85,23
"3,726.00",7.77,-18.28,-0.14,8.91,136.6,22.93
"3,746.00",7.75,-18.46,-0.18,8.53,135.78,23.14
"3,766.00",7.72,-18.65,-0.2,8.12,135.12,23.54
"3,786.00",7.71,-18.68,-0.14,8.11,134.5,24.19
"3,806.00",7.65,-18.73,-0.1,8.08,136.98,24.82
"3,826.00",7.58,-18.83,-0.07,7.99,141.51,25.35
"3,846.00",7.66,-18.98,-0.09,7.72,146.05,25.55
"3,866.00",7.77,-18.71,-0.19,7.94,146.55,25.54
"3,886.00",7.87,-18.1,-0.34,8.55,143.12,25.42
"3,906.00",7.83,-18.22,-0.27,8.19,139.68,25.53
"3,926.00",7.76,-18.42,-0.19,7.84,138.43,25.82
"3,946.00",7.7,-18.51,-0.16,7.81,140.33,26.26
"3,966.00",7.78,-18.55,-0.21,8.05,142.25,26.3
"3,986.00",7.86,-18.42,-0.28,8.34,142.73,26.25
"4,006.00",7.88,-17.99,-0.32,8.54,140.21,26.26
"4,026.00",7.89,-18.04,-0.26,8.17,137.61,26.52
"4,046.00",7.87,-18.31,-0.14,7.65,135.62,27.15
"4,066.00",7.79,-18.63,0.03,7.39,135.45,28.59
"4,086.00",8.15,-18.08,-0.21,7.6,135.39,30.73
"4,106.00",8.57,-17.41,-0.54,7.67,134,33.39
"4,126.00",8.27,-18.09,-0.29,6.32,127.9,36.55
"4,146.00",7.83,-18.59,-0.03,5.29,121.39,40.71
"4,166.00",7.46,-18.74,0.15,5.06,119.54,44.41
"4,186.00",7.59,-18.37,0.08,6.82,137.45,43.27
"4,206.00",7.66,-18.35,0.04,7.38,143.06,39.23
"4,226.00",7.62,-18.52,0.07,7.02,138.67,34.7
"4,246.00",7.46,-18.31,0.23,7.14,136.04,35.52
