Age,C/N,d13C,d15N,TC,Bsi,MS
-50,13.39,-24.57,-2.71,2.34,45.71,252.13
-30,13.75,-24.55,-1.87,1.96,48.16,325.16
-10,12.25,-24.93,-0.89,1.7,50.61,380.63
10,11.82,-24.75,-0.48,1.69,53.05,403.54
30,12.88,-23.83,-0.77,1.94,55.28,390.51
50,12.67,-23.43,-0.57,1.76,53.89,404.34
70,11.86,-23.25,-0.16,1.4,51.24,454.84
90,10.55,-23.21,0.35,0.93,48.59,585.83
110,9.92,-23.21,0.56,0.81,45.94,637.61
130,9.91,-23.27,0.53,0.98,43.56,617.81
150,9.9,-23.58,0.54,1.01,43.73,600.75
170,9.86,-23.82,0.53,1.07,44.54,576.09
190,9.74,-23.73,0.45,1.29,45.36,530.26
210,9.55,-23.54,0.48,1.44,46.17,477.84
230,9.38,-23.27,0.58,1.55,46.8,420.61
250,9.47,-22.68,0.66,1.78,46.21,354.05
270,9.53,-22.34,0.69,2,45.4,297.52
290,9.41,-22.56,0.65,2.19,44.59,262.82
310,9.45,-22.75,0.61,2.31,43.78,240.12
330,9.59,-22.79,0.6,2.35,43.12,228.18
350,9.8,-22.16,0.78,2.17,43.21,241.89
370,9.91,-21.82,0.91,2.05,43.41,253.85
390,9.83,-22.07,0.93,2.08,43.61,256.19
410,9.77,-22.01,0.98,2.21,43.81,235.69
430,9.67,-22.14,0.93,2.41,44.2,204.51
450,9.38,-23.66,0.39,2.75,45.39,170.77
469,9.25,-24.41,0.07,3.09,46.69,136.13
489,9.37,-23.85,0.14,3.42,47.99,102.03
509,9.56,-22.73,0.34,3.48,49.29,93.32
529,9.73,-21.6,0.55,3.45,50.59,96.15
549,9.62,-21.43,0.55,3.5,51.89,107.36
569,9.86,-21.33,0.51,3.7,53.19,108.59
589,10.59,-21.17,0.43,4.1,54.48,94.37
609,10.65,-20.94,0.32,4.21,55.78,74.01
629,10.55,-20.75,0.21,4.21,57.16,56.47
649,10.96,-20.85,0.22,4.22,58.93,63.27
669,11.02,-20.84,0.32,4.02,59.87,70.61
689,10.48,-20.64,0.55,3.53,59.57,74.17
709,10.27,-20.97,0.77,3.17,59.27,74.13
729,10.2,-21.43,0.97,2.91,58.53,70.55
749,10.09,-21.56,1.1,2.77,56.04,58.43
769,10.02,-21.82,1.05,2.78,53.36,48.84
789,10,-22.25,0.84,2.96,50.68,43.66
