Age,C/N,d13C,d15N,TC,Bsi,MS
-30,9.32,-25.74,1.24,4.56,16.81,114.24
-10,9.17,-24.83,1.1,4.08,14.79,124.24
10,8.81,-23.91,1.3,3.29,12.48,121.76
30,8.96,-24.64,1.68,2.77,11.86,123.76
50,9.41,-24.62,1.58,3.38,13.81,107.75
70,8.9,-24.84,1.18,3.5,14.03,103.75
90,8.7,-24.59,1.2,3.46,15.65,105.49
110,8.81,-24.38,1.09,3.17,14.4,109.27
130,9.22,-25.1,1.16,3.62,13.68,111.45
150,8.95,-24.55,0.95,3.63,11.69,129.94
170,9.57,-24.88,1.34,3.09,14.01,128.76
190,8.87,-24.78,1.29,3.53,15.48,108.59
210,8.7,-24.4,1.18,3.26,16.35,105.51
230,8.82,-24.74,1.28,2.78,13.95,109.08
250,9.41,-23.98,1.04,3.68,14.26,122.31
270,9.1,-24.51,1.38,3.19,16.21,115.93
290,10.08,-25.29,1.29,3.61,15.62,102.63
310,8.68,-23.96,1.36,3.43,20.44,103.92
330,8.63,-24.31,1.34,3.54,18.15,100.27
350,8.55,-24.25,1.15,3.69,21.52,96.42
370,8.56,-23.91,1.17,3.59,21.12,96.52
390,8.36,-23.94,1.32,3.25,22.1,97.29
410,8.17,-23.93,1.46,2.95,21.89,111.16
430,8.19,-23.57,1.08,2.67,19.72,161.24
450,7.88,-23.36,1.2,2.23,20.91,140.22
469,7.9,-23.59,1.34,2.89,23.09,103.7
489,7.95,-23.46,1.33,2.88,21.42,92.17
509,8.25,-23.55,1.08,3.17,24.55,97
529,8.11,-23.43,1.32,3.06,18.86,116.78
549,7.94,-23.24,1.67,2.66,20.71,116.37
569,8.13,-23.07,1.66,2.41,20.66,133.01
589,9.8,-24.15,1.51,2.74,19.18,127.89
609,8.49,-23.84,1.66,2.72,19.3,124.73
629,8.92,-24.32,1.72,2.93,20.72,106.14
649,8.29,-23.53,2.08,3.07,23.04,104.47
669,8.02,-23.53,1.73,2.87,19.64,116.87
689,8.28,-23.38,1.69,2.7,19.27,111.5
709,8.41,-22.96,1.6,2.89,19.13,113.26
729,9.02,-23.49,1.87,3.04,15.85,114.35
749,9.4,-23.04,1.8,3.18,15.24,117.78
769,10.25,-22.84,1.69,3.27,16.19,114.67
789,10.18,-23.06,1.94,3.94,16.61,96.93
809,8.91,-22.91,1.76,2.95,15.46,118.18
829,9.03,-22.96,1.66,3.03,13.11,120.03
849,9.49,-23.08,1.86,3.13,13.31,120.73
869,9.64,-23.44,1.9,3.72,13.77,124.76
889,9.81,-22.76,1.76,3.94,15.07,124.1
909,8.88,-22.75,1.57,3.71,16.5,116.98
929,9.9,-23.41,1.63,4.05,12.49,121.2
949,9.57,-23.88,1.81,3.97,13.25,118.07
969,10.2,-23.3,1.73,3.85,15.93,122.05
989,10.04,-23.82,1.79,3.93,17.05,130.54
"1,009.00",8.96,-24.54,1.51,3.59,14.56,121.02
"1,029.00",8.6,-23.72,1.51,3.44,20.03,104.26
"1,049.00",8.25,-22.96,1.65,3.37,21.53,134.26
"1,069.00",7.66,-23.15,1.51,2.27,23.94,123.44
"1,089.00",7.47,-22.22,1.3,2.5,26.57,82.73
