d13C,d15N,Age
-20.33,-1.22,-50
-20.23,-1.12,-30
-20.13,-1.02,-10
-20.03,-0.93,10
-20,-0.84,30
-20.14,-0.78,50
-20.4,-0.74,70
-20.5,-0.69,90
-20.43,-0.62,110
-20.28,-0.55,130
-20.84,-0.39,150
-22.02,-0.15,170
-22.88,0.01,190
-23.1,0.01,210
-23.04,-0.15,230
-23.06,-0.18,250
-23.04,-0.08,270
-22.94,-0.07,290
-22.77,-0.12,310
-22.64,-0.14,330
-22.66,-0.12,350
-22.7,-0.09,370
-22.7,-0.11,390
-22.7,-0.15,410
-22.64,-0.24,430
-22.47,-0.31,450
-22.15,-0.34,469
-21.88,-0.36,489
-21.98,-0.34,509
-22.04,-0.34,529
-21.88,-0.39,549
-21.8,-0.43,569
-21.86,-0.45,589
-21.96,-0.44,609
-22.06,-0.42,629
-22.16,-0.35,649
-22.2,-0.28,669
-22.14,-0.24,689
-22.04,-0.25,709
-21.88,-0.31,729
-21.68,-0.39,749
-21.72,-0.42,769
-21.98,-0.39,789
-22.16,-0.36,809
-21.83,-0.41,829
-21.17,-0.49,849
-20.72,-0.55,869
-20.6,-0.55,889
-20.66,-0.53,909
-20.7,-0.53,929
-20.7,-0.55,949
-20.7,-0.58,969
-20.7,-0.57,989
-20.7,-0.53,1009
-20.58,-0.54,1029
-20.44,-0.56,1049
-20.58,-0.52,1069
-20.82,-0.52,1089
-20.96,-0.52,1109
-21.06,-0.48,1129
-21.1,-0.41,1149
-20.98,-0.39,1169
-20.72,-0.43,1189
-20.42,-0.5,1209
-20.12,-0.57,1229
-19.83,-0.63,1249
-19.58,-0.68,1269
-19.56,-0.68,1289
-19.66,-0.67,1309
-19.76,-0.65,1329
-19.86,-0.63,1349
-19.9,-0.6,1369
-19.96,-0.57,1389
-20.06,-0.54,1409
-20.21,-0.51,1429
-20.41,-0.48,1449
-20.61,-0.45,1468
-20.81,-0.42,1488
-20.84,-0.42,1508
-20.74,-0.45,1528
-20.64,-0.48,1548
-20.6,-0.51,1568
-20.54,-0.52,1588
-20.5,-0.49,1608
-20.5,-0.44,1628
-20.5,-0.4,1648
-20.5,-0.37,1668
-20.44,-0.38,1688
-20.34,-0.38,1708
-20.24,-0.4,1728
-20.04,-0.48,1748
-19.68,-0.6,1768
-19.5,-0.67,1788
-19.55,-0.68,1808
-19.65,-0.66,1828
-19.7,-0.67,1848
-19.7,-0.69,1868
-19.75,-0.71,1888
-19.8,-0.72,1908
-19.8,-0.74,1928
-19.8,-0.74,1948
-19.8,-0.75,1968
-19.85,-0.74,1988
-19.9,-0.73,2008
-19.95,-0.72,2028
-20.05,-0.69,2048
-20.1,-0.6,2068
-20.15,-0.49,2088
-20.2,-0.38,2108
-20.25,-0.37,2128
-20.3,-0.48,2148
-20.35,-0.62,2168
