"","Age","d13C","d15N"
"1",-30,-28.09,2.04
"2",190,-26.99,2.22
"3",410,-26.65,2.28
"4",629,-26.52,2.65
"5",849,-26.75,2.08
"6",1069,-27.32,2.19
"7",1289,-26.76,2.49
"8",1508,-25.95,2.12
"9",1728,-25.96,2.2
"10",1948,-26.16,2.17
"11",2168,-26.3,2.35
"12",2388,-26.13,2.41
"13",2607,-26.12,2.27
"14",2827,-25.97,1.95
"15",3047,-25.92,1.62
"16",3267,-26.26,1.54
"17",3486,-25.9,1.77
"18",3706,-26.1,1.95
"19",3926,-26.27,2.08
"20",4146,-26.19,2.35
"21",4366,-26.29,2.63
"22",4585,-26.52,2.17
"23",4805,-26.52,1.94
"24",5025,-26.37,2.14
"25",5245,-26.22,2.33
"26",5465,-26.11,2.49
"27",5684,-26.38,2.29
"28",5904,-26.57,1.68
"29",6124,-26.29,2.06
"30",6344,-26.09,2.36
"31",6563,-26.03,2.43
"32",6783,-25.97,2.49
"33",7003,-26.03,1.91
"34",7223,-26.1,1.86
"35",7443,-26.17,1.81
"36",7662,-26.31,1.77
"37",7882,-26.38,1.76
