Age,d13C,d15N
-30,-28.09,2.04
-10,-27.99,2.06
10,-27.89,2.08
30,-27.79,2.09
50,-27.69,2.11
70,-27.58,2.13
90,-27.48,2.14
110,-27.38,2.16
130,-27.28,2.18
150,-27.18,2.19
170,-27.08,2.21
190,-26.99,2.22
210,-26.95,2.23
230,-26.92,2.23
250,-26.89,2.23
270,-26.86,2.23
290,-26.83,2.23
310,-26.79,2.23
330,-26.76,2.23
350,-26.73,2.23
370,-26.7,2.23
390,-26.67,2.24
410,-26.65,2.28
430,-26.63,2.34
450,-26.61,2.39
469,-26.59,2.44
489,-26.57,2.5
509,-26.55,2.55
529,-26.53,2.6
549,-26.51,2.65
569,-26.49,2.71
589,-26.48,2.75
609,-26.5,2.71
629,-26.52,2.65
649,-26.54,2.6
669,-26.57,2.55
689,-26.59,2.5
709,-26.62,2.44
729,-26.64,2.39
749,-26.66,2.34
769,-26.69,2.29
789,-26.71,2.23
809,-26.74,2.18
829,-26.76,2.13
849,-26.75,2.08
869,-26.55,2.05
889,-26.36,2.03
909,-26.43,2.04
929,-26.54,2.06
949,-26.65,2.08
969,-26.76,2.1
989,-26.88,2.11
1009,-26.99,2.13
1029,-27.1,2.15
1049,-27.21,2.17
1069,-27.32,2.19
1089,-27.41,2.2
1109,-27.36,2.23
1129,-27.3,2.26
1149,-27.23,2.29
1169,-27.16,2.32
1189,-27.1,2.35
1209,-27.03,2.38
1229,-26.97,2.41
1249,-26.9,2.44
1269,-26.83,2.47
1289,-26.76,2.49
1309,-26.68,2.46
1329,-26.6,2.42
1349,-26.52,2.38
1369,-26.44,2.34
1389,-26.36,2.3
1409,-26.27,2.26
1429,-26.19,2.23
1449,-26.11,2.19
1468,-26.03,2.15
1488,-25.96,2.12
1508,-25.95,2.12
1528,-25.95,2.13
1548,-25.95,2.14
1568,-25.95,2.16
1588,-25.95,2.17
1608,-25.95,2.18
1628,-25.95,2.19
1648,-25.95,2.2
1668,-25.95,2.21
1688,-25.95,2.22
1708,-25.95,2.21
1728,-25.96,2.2
1748,-25.97,2.19
1768,-25.98,2.18
1788,-25.99,2.17
1808,-26,2.15
1828,-26.01,2.14
1848,-26.02,2.13
1868,-26.03,2.12
1888,-26.04,2.11
1908,-26.08,2.13
1928,-26.12,2.15
1948,-26.16,2.17
1968,-26.2,2.2
1988,-26.24,2.22
2008,-26.29,2.24
2028,-26.33,2.26
2048,-26.37,2.28
2068,-26.41,2.31
