"","Age","d13C","d15N"
"1",-50,-24.14,-0.53
"2",170,-25.37,1.33
"3",390,-24.79,3.12
"4",609,-25.46,1.93
"5",829,-25.71,1.91
"6",1049,-25.1,1.76
"7",1269,-26.01,2.01
"8",1488,-26.08,1.65
"9",1708,-25.64,3.19
"10",1928,-25.77,1.68
"11",2148,-25.87,1.72
"12",2368,-25.87,1.65
"13",2587,-25.73,1.63
"14",2807,-25.81,1.03
"15",3027,-24.89,1.14
"16",3247,-25.68,0.95
"17",3467,-26.58,3.03
"18",3686,-25.84,1.3
"19",3906,-25.76,0.64
"20",4126,-25.73,1.14
"21",4346,-24.02,0.69
"22",4565,-24.06,0.21
"23",4785,-23.8,0.17
"24",5005,-24.75,0.31
"25",5225,-24.78,0.63
"26",5445,-24.27,1.57
"27",5664,-24.43,1.64
"28",5884,-23.88,1.31
"29",6104,-24.12,1.84
"30",6324,-24.85,1.88
"31",6543,-23.9,2.83
"32",6763,-23.22,3.15
"33",6983,-23.2,3.22
"34",7203,-23.47,3.06
"35",7423,-23.18,3.55
"36",7642,-23.26,4.1
"37",7862,-24.41,3.47
