d13C,d15N,Age
-25.7,28.6,-57
-26.2,27.1,185
-27.2,28.5,421
-30.1,27.3,644.5
-29.4,27.4,856
-26.7,27.1,1254
-26.5,27.5,1638
-26.7,27.4,2031
-26.2,27.5,2456
-26.8,27.4,2914
-27.1,27.5,3375
-26,27.3,3821
-25.5,27.2,4242
-29.7,27.4,4440
-26.4,26.6,4629
-25.6,27.4,4807.5
-25.2,27.8,4974
-28.3,26,5126.5
-28.3,27.8,5389.5
-23.9,27.4,5500
-30.1,27.4,5598
-25.1,28,5765.5
-24.5,27.6,5838
-24.3,27.7,5906
-23.5,27.5,5969
-22.9,27.4,6087
-22.8,27.7,6196
-22.5,27.5,6303
-22.6,27.6,6410
-21.7,27.7,6517
-20.8,27.7,6730
-18.9,27.2,6837
-17.5,29.8,6943
-19.5,30.2,7050
-20.4,28,7157
