d13C,d15N,Age
-26.19,1.97,-50
-25.89,1.77,50
-26.07,1.88,150
-26.07,1.93,250
-26.12,1.65,350
-25.92,1.58,450
-25.82,1.68,549
-25.57,1.73,649
-25.98,1.98,749
-26.06,1.85,849
-25.93,1.86,949
-25.89,1.95,1049
-25.83,1.94,1149
-24.93,1.81,1249
-24.95,1.86,1349
-24.77,1.91,1449
-24.97,2.05,1548
-24.99,1.84,1648
-25.52,1.68,1748
-25.22,1.62,1848
-25.18,1.88,1948
-25.05,1.96,2048
-25.21,1.73,2148
-26.19,1.3,2248
-27.37,1.31,2348
-27.43,1.49,2448
-26.81,1.55,2547
-27.34,1.43,2647
-26.89,1.52,2747
-26.65,1.59,2847
-26.84,1.6,2947
-26.59,1.71,3047
-26.87,1.64,3147
-26.9,1.52,3247
-27.01,1.55,3347
-26.96,1.66,3447
-26.8,1.8,3546
-26.96,1.23,3646
-26.89,1.3,3746
-26.13,1.34,3846
-26.85,1.39,3946
-25.2,2.21,4046
-25.17,1.65,4146
-25.83,1.72,4246
-26.07,1.58,4346
-26.61,1.33,4446
-26.75,1.31,4545
-26.17,1.06,4645
-26.26,1.42,4745
-25.48,1.86,4845
-26.79,1.2,4945
-25.81,1.56,5045
-26.55,1,5145
-25.92,1.47,5245
-25.16,1.5,5345
-24.95,1.72,5445
-25.04,1.71,5544
-24.87,1.52,5644
-25.19,1.44,5744
-25.14,1.29,5844
-25.27,1.61,5944
-27.26,1.44,6044
-26.22,0.7,6144
-24.48,1.74,6244
-24.69,1.5,6344
-24.52,1.66,6444
-26.06,0.68,6543
-24.87,1.46,6643
-25.07,0.96,6743
-25.55,0.77,6843
-25.09,0.87,6943
-25.41,0.36,7043
-24.75,0.92,7143
-24.69,0.46,7243
-24.21,0.78,7343
-25.21,0.88,7443
-24.47,0.64,7542
-24.61,0.8,7642
-24.33,0.58,7742
-24.24,0.85,7842
-24.16,0.42,7942
-23.46,0.36,8002
