d13C,d15N,Age
-26.19,1.97,-50
-26.16,1.98,-30
-26.07,1.95,-10
-25.97,1.91,10
-25.92,1.83,30
-25.89,1.77,50
-25.89,1.89,70
-25.9,1.99,90
-25.96,1.95,110
-26.02,1.9,130
-26.07,1.88,150
-26.12,1.85,170
-26.15,1.8,190
-26.16,1.78,210
-26.11,1.87,230
-26.07,1.93,250
-26.06,1.92,270
-26.06,1.88,290
-26.07,1.8,310
-26.08,1.72,330
-26.12,1.65,350
-26.15,1.61,370
-26.16,1.75,390
-26.16,1.91,410
-26.05,1.79,430
-25.92,1.58,450
-25.79,1.53,469
-25.68,1.56,489
-25.68,1.6,509
-25.78,1.64,529
-25.82,1.68,549
-25.74,1.71,569
-25.66,1.73,589
-25.53,1.72,609
-25.42,1.7,629
-25.57,1.73,649
-25.79,1.78,669
-25.95,1.79,689
-26.07,1.78,709
-26.11,1.82,729
-25.98,1.98,749
-25.88,2.12,769
-25.93,2.12,789
-25.99,2.09,809
-26.03,1.99,829
-26.06,1.85,849
-26.04,1.8,869
-25.94,1.87,889
-25.87,1.93,909
-25.89,1.9,929
-25.93,1.86,949
-25.88,1.94,969
-25.8,2.07,989
-25.76,2.12,1009
-25.82,2.03,1029
-25.89,1.95,1049
-26.08,1.93,1069
-26.3,1.92,1089
-26.28,1.92,1109
-26.05,1.93,1129
-25.83,1.94,1149
-25.63,1.94,1169
-25.43,1.93,1189
-25.21,1.89,1209
-24.99,1.83,1229
-24.93,1.81,1249
-25.12,1.83,1269
-25.27,1.85,1289
-25.14,1.86,1309
-24.95,1.87,1329
-24.95,1.86,1349
-25.12,1.82,1369
-25.22,1.8,1389
-25.04,1.86,1409
-24.84,1.92,1429
-24.77,1.91,1449
-24.76,1.87,1468
-24.76,1.87,1488
-24.8,1.96,1508
-24.85,2.04,1528
-24.97,2.05,1548
-25.11,2.04,1568
-25.12,1.99,1588
-24.98,1.91,1608
-24.88,1.85,1628
-24.99,1.84,1648
-25.13,1.83,1668
-25.24,1.85,1688
-25.34,1.89,1708
-25.44,1.87,1728
-25.52,1.68,1748
-25.59,1.49,1768
-25.46,1.5,1788
-25.27,1.56,1808
-25.18,1.61,1828
-25.22,1.62,1848
-25.26,1.64,1868
-25.28,1.66,1888
-25.29,1.68,1908
-25.25,1.76,1928
-25.18,1.88,1948
-25.2,1.94,1968
-25.39,1.88,1988
-25.54,1.83,2008
-25.33,1.88,2028
-25.05,1.96,2048
-24.94,1.95,2068
-24.96,1.9,2088
-25,1.84,2108
-25.1,1.79,2128
-25.21,1.73,2148
-25.33,1.69,2168
-25.47,1.65,2188
-25.69,1.54,2208
-25.98,1.4,2228
-26.19,1.3,2248
-26.27,1.33,2268
-26.37,1.36,2288
-26.66,1.38,2308
-27,1.4,2328
-27.37,1.31,2348
-27.77,1.17,2368
-27.93,1.17,2388
-27.72,1.41,2408
-27.53,1.58,2428
-27.43,1.49,2448
-27.33,1.39,2467
-27.21,1.43,2487
-27.08,1.51,2507
-26.94,1.55,2527
-26.81,1.55,2547
-26.79,1.54,2567
-26.97,1.5,2587
-27.15,1.45,2607
-27.25,1.44,2627
-27.34,1.43,2647
-27.27,1.46,2667
-27.14,1.52,2687
-27.04,1.53,2707
-26.97,1.53,2727
-26.89,1.52,2747
-26.83,1.51,2767
-26.77,1.52,2787
-26.74,1.55,2807
-26.71,1.59,2827
-26.65,1.59,2847
-26.59,1.6,2867
-26.5,1.69,2887
-26.39,1.82,2907
-26.53,1.77,2927
-26.84,1.6,2947
-27,1.52,2967
-26.98,1.53,2987
-26.9,1.57,3007
-26.72,1.65,3027
-26.59,1.71,3047
-26.69,1.7,3067
-26.79,1.68,3087
-26.86,1.63,3107
-26.91,1.59,3127
-26.87,1.64,3147
-26.81,1.71,3167
-26.81,1.67,3187
-26.83,1.57,3207
-26.86,1.53,3227
-26.9,1.52,3247
-26.97,1.48,3267
-27.07,1.41,3287
-27.1,1.42,3307
-27.06,1.52,3327
-27.01,1.55,3347
-26.95,1.45,3367
-26.93,1.42,3387
-26.99,1.53,3407
-27.02,1.62,3427
-26.96,1.66,3447
-26.9,1.68,3467
-26.89,1.66,3486
-26.88,1.65,3506
-26.83,1.75,3526
-26.8,1.8,3546
-26.87,1.66,3566
-26.94,1.51,3586
-26.93,1.44,3606
-26.93,1.36,3626
-26.96,1.23,3646
-26.98,1.13,3666
-26.9,1.29,3686
-26.83,1.43,3706
-26.87,1.37,3726
-26.89,1.3,3746
-26.84,1.28,3766
-26.69,1.25,3786
-26.26,1.18,3806
-25.97,1.17,3826
-26.13,1.34,3846
-26.18,1.58,3866
-25.9,1.98,3886
-25.89,2.1,3906
-26.38,1.7,3926
-26.85,1.39,3946
-27.3,1.22,3966
-27.02,1.38,3986
-26.03,1.86,4006
-25.47,2.12,4026
-25.2,2.21,4046
-25.07,2.11,4066
-25,1.93,4086
-25.04,1.85,4106
-25.11,1.78,4126
-25.17,1.65,4146
-25.29,1.54,4166
-25.57,1.55,4186
-25.77,1.6,4206
-25.77,1.68,4226
-25.83,1.72,4246
-25.96,1.71,4266
-25.96,1.8,4286
-25.89,1.92,4306
-25.98,1.77,4326
-26.07,1.58,4346
-25.99,1.62,4366
-25.95,1.65,4386
-26.04,1.59,4406
-26.27,1.48,4426
-26.61,1.33,4446
-26.72,1.26,4466
-26.73,1.21,4485
-26.77,1.19,4505
-26.79,1.21,4525
-26.75,1.31,4545
-26.72,1.28,4565
-26.71,1.14,4585
-26.65,1.2,4605
-26.51,1.25,4625
-26.17,1.06,4645
-25.99,1.16,4665
-26.02,1.6,4685
-26.03,1.63,4705
-26.08,1.53,4725
-26.26,1.42,4745
-26.28,1.36,4765
-26.15,1.36,4785
-26.11,1.59,4805
-25.97,1.81,4825
-25.48,1.86,4845
-25.52,1.85,4865
-25.9,1.74,4885
-26.53,1.34,4905
