d13C,d15N,Age
-26.19,1.97,-50
-26.07,1.88,150
-26.12,1.65,350
-25.82,1.68,549
-25.98,1.98,749
-25.93,1.86,949
-25.83,1.94,1149
-24.95,1.86,1349
-24.97,2.05,1548
-25.52,1.68,1748
-25.18,1.88,1948
-25.21,1.73,2148
-27.37,1.31,2348
-26.81,1.55,2547
-26.89,1.52,2747
-26.84,1.6,2947
-26.87,1.64,3147
-27.01,1.55,3347
-26.8,1.8,3546
-26.89,1.3,3746
-26.85,1.39,3946
-25.17,1.65,4146
-26.07,1.58,4346
-26.75,1.31,4545
-26.26,1.42,4745
-26.79,1.2,4945
-26.55,1,5145
-25.16,1.5,5345
-25.04,1.71,5544
-25.19,1.44,5744
-25.27,1.61,5944
-26.22,0.7,6144
-24.69,1.5,6344
-26.06,0.68,6543
-25.07,0.96,6743
-25.09,0.87,6943
-24.75,0.92,7143
-24.21,0.78,7343
-24.47,0.64,7542
-24.33,0.58,7742
-24.16,0.42,7942
