"","Age","d13C","d15N"
"1",-50,-21.68,-0.05
"2",170,-21.84,-0.09
"3",390,-20.52,-0.24
"4",609,-19.28,-0.54
"5",829,-18.74,-0.61
"6",1049,-17.77,-0.64
"7",1269,-17.38,-0.51
"8",1488,-17.17,-0.63
"9",1708,-16.99,-0.55
"10",1928,-17.81,-0.5
"11",2148,-18.24,-0.49
"12",2368,-17.76,-0.38
"13",2587,-18.43,-0.3
"14",2807,-18.71,-0.21
"15",3027,-18.54,-0.36
"16",3247,-18.83,-0.34
"17",3467,-19.32,-0.11
"18",3686,-18.35,-0.21
"19",3906,-18.22,-0.27
"20",4126,-18.09,-0.29
"21",4346,-18.34,0.13
"22",4565,-17.99,0.06
"23",4785,-17.66,-0.03
"24",5005,-18.55,0.19
"25",5225,-17.95,0.59
"26",5445,-19.58,2.19
"27",5664,-18.92,2.18
"28",5884,-19.33,2.28
"29",6104,-18.96,2.19
"30",6324,-18.67,1.86
"31",6543,-18.76,2.47
"32",6763,-19,2.17
"33",6983,-18.3,1.4
"34",7203,-17.37,0.96
"35",7423,-18.63,0.91
"36",7642,-16.39,0.96
"37",7862,-17.96,0.88
