Age,d13C,d15N
-50,-21.68,-0.05
-30,-21.1,-0.09
-10,-21.1,-0.07
10,-21.61,0
30,-21.32,-0.05
50,-21.51,0.03
70,-21.77,0.09
90,-21.69,0
110,-21.73,0
130,-21.73,0.09
150,-21.73,0.06
170,-21.84,-0.09
190,-22.14,0.13
210,-22.43,0.18
230,-22.85,0.33
250,-22.94,0.24
270,-22.53,0.01
290,-22.08,0.01
310,-21.96,0.07
330,-21.85,-0.16
350,-21.61,-0.23
370,-21.25,-0.21
390,-20.52,-0.24
410,-19.96,-0.3
430,-20.09,-0.33
450,-19.93,-0.56
469,-19.83,-0.66
489,-20.37,-0.41
509,-20.15,-0.29
529,-19.98,-0.45
549,-19.66,-0.49
569,-19.31,-0.61
589,-19.16,-0.7
609,-19.28,-0.54
629,-19.55,-0.53
649,-20.11,-0.51
669,-20.59,-0.57
689,-20.79,-0.76
709,-19.82,-0.7
729,-19.16,-0.58
749,-18.88,-0.59
769,-18.68,-0.63
789,-18.83,-0.41
809,-19.23,-0.61
829,-18.74,-0.61
849,-18.55,-0.58
869,-18.57,-0.57
889,-18.56,-0.49
909,-18.36,-0.52
929,-18.5,-0.58
949,-18.78,-0.59
969,-19.79,-0.61
989,-18.96,-0.57
1009,-18.1,-0.7
1029,-17.61,-0.66
1049,-17.77,-0.64
1069,-17.66,-0.69
1089,-17.5,-0.61
1109,-17.41,-0.62
1129,-17.52,-0.69
1149,-17.38,-0.63
1169,-17.6,-0.6
1189,-17.3,-0.57
1209,-17.3,-0.43
1229,-17.35,-0.56
1249,-17.58,-0.52
1269,-17.38,-0.51
1289,-17.53,-0.56
1309,-17.53,-0.56
1329,-17.28,-0.58
1349,-17.25,-0.53
1369,-17.21,-0.47
1389,-17.17,-0.55
1409,-17.13,-0.63
1429,-17.13,-0.65
1449,-17.18,-0.58
1468,-17.26,-0.62
1488,-17.17,-0.63
1508,-17.13,-0.68
1528,-17.09,-0.79
1548,-17,-0.67
1568,-17.12,-0.56
1588,-17.19,-0.63
1608,-17.18,-0.61
1628,-17.13,-0.57
1648,-17.01,-0.72
1668,-16.84,-0.74
1688,-16.94,-0.69
1708,-16.99,-0.55
1728,-16.97,-0.55
1748,-16.95,-0.61
1768,-17.29,-0.64
1788,-17.55,-0.63
1808,-17.79,-0.58
1828,-17.74,-0.54
1848,-17.6,-0.61
1868,-17.54,-0.52
1888,-17.74,-0.51
1908,-17.83,-0.51
1928,-17.81,-0.5
1948,-17.73,-0.41
1968,-18.02,-0.47
1988,-17.96,-0.48
2008,-17.8,-0.5
2028,-17.92,-0.56
2048,-18.05,-0.52
2068,-18,-0.49
2088,-17.55,-0.54
2108,-17.45,-0.55
2128,-18.1,-0.51
2148,-18.24,-0.49
2168,-17.9,-0.54
2188,-18.05,-0.52
2208,-18.01,-0.44
2228,-17.94,-0.43
2248,-17.85,-0.44
2268,-17.83,-0.52
2288,-17.81,-0.51
2308,-17.62,-0.34
2328,-17.79,-0.34
2348,-17.87,-0.35
2368,-17.76,-0.38
2388,-17.9,-0.37
2408,-18.18,-0.3
2428,-18.41,-0.26
2448,-18.59,-0.26
2467,-18.59,-0.27
2487,-18.28,-0.29
2507,-18.01,-0.27
2527,-17.97,-0.32
2547,-17.99,-0.36
2567,-18.32,-0.27
2587,-18.43,-0.3
2607,-18.4,-0.2
2627,-18.5,-0.13
2647,-18.72,-0.24
2667,-18.81,-0.3
2687,-18.75,-0.51
2707,-18.74,-0.59
2727,-18.69,-0.47
2747,-18.77,-0.34
2767,-18.97,-0.34
2787,-18.98,-0.35
2807,-18.71,-0.21
2827,-19.19,-0.19
2847,-19.27,-0.19
2867,-18.97,-0.12
2887,-18.85,-0.07
2907,-19.05,-0.09
2927,-19.23,-0.11
2947,-19.16,-0.16
2967,-18.81,-0.15
2987,-18.55,-0.17
3007,-18.5,-0.25
3027,-18.54,-0.36
3047,-18.52,-0.43
3067,-18.46,-0.4
3087,-18.47,-0.3
3107,-18.57,-0.19
3127,-18.61,-0.24
3147,-18.59,-0.36
3167,-18.58,-0.35
3187,-18.45,-0.33
3207,-18,-0.52
3227,-18.37,-0.46
3247,-18.83,-0.34
3267,-19.07,-0.25
3287,-18.9,-0.2
3307,-18.79,-0.17
3327,-18.76,-0.18
3347,-18.78,-0.23
3367,-18.63,-0.37
3387,-18.66,-0.39
3407,-18.87,-0.27
3427,-19.14,-0.09
3447,-19.32,-0.05
