Age,d13C,d15N
-50,-24.57,-2.71
-30,-24.55,-1.87
-10,-24.93,-0.89
10,-24.75,-0.48
30,-23.83,-0.77
50,-23.43,-0.57
70,-23.25,-0.16
90,-23.21,0.35
110,-23.21,0.56
130,-23.27,0.53
150,-23.58,0.54
170,-23.82,0.53
190,-23.73,0.45
210,-23.54,0.48
230,-23.27,0.58
250,-22.68,0.66
270,-22.34,0.69
290,-22.56,0.65
310,-22.75,0.61
330,-22.79,0.6
350,-22.16,0.78
370,-21.82,0.91
390,-22.07,0.93
410,-22.01,0.98
430,-22.14,0.93
450,-23.66,0.39
469,-24.41,0.07
489,-23.85,0.14
509,-22.73,0.34
529,-21.6,0.55
549,-21.43,0.55
569,-21.33,0.51
589,-21.17,0.43
609,-20.94,0.32
629,-20.75,0.21
649,-20.85,0.22
669,-20.84,0.32
689,-20.64,0.55
709,-20.97,0.77
729,-21.43,0.97
749,-21.56,1.1
769,-21.82,1.05
789,-22.25,0.84
809,-22.3,0.87
829,-22.1,0.94
849,-21.57,0.9
869,-21.28,0.95
889,-21.36,0.94
909,-22.19,0.54
929,-22.94,0.2
949,-23.08,0.01
969,-21.5,0.2
989,-20.69,0.24
1009,-20.64,0.26
1029,-21.18,0.39
1049,-21.01,0.35
1069,-20.75,0.28
1089,-20.67,0.18
1109,-20.85,0.03
1129,-20.94,-0.15
1149,-20.67,-0.12
1169,-20.7,0.12
1189,-21.05,0.11
1209,-21.33,0.08
1229,-21.42,0.19
1249,-21.69,0.18
1269,-21.97,0.16
1289,-21.95,0.31
1309,-22.06,0.45
1329,-22.09,0.47
1349,-22.08,0.51
1369,-21.87,0.29
1389,-21.44,-0.07
1409,-21.5,0.15
1429,-21.75,0.37
1449,-22.31,0.33
1468,-22.32,0.05
1488,-21.84,0.08
1508,-21.87,-0.22
1528,-21.13,-0.46
1548,-20.7,-0.1
1568,-21.2,0.11
1588,-21.31,0.28
1608,-21.04,0.09
1628,-20.4,-0.12
1648,-20.63,-0.16
1668,-20.89,-0.11
1688,-20.89,-0.06
1708,-20.46,0
1728,-21.32,-0.01
1748,-21.12,0.06
1768,-21.19,-0.09
1788,-21.2,-0.02
1808,-21.24,0.15
1828,-21.1,-0.07
1848,-21.32,-0.11
1868,-21.09,-0.2
1888,-21.51,-0.06
1908,-21.45,-0.08
1928,-21.36,-0.07
1948,-21.39,0
1968,-21.57,-0.01
1988,-20.96,-0.01
2008,-20.37,-0.04
2028,-20.36,-0.13
2048,-20.32,-0.03
2068,-20.76,0.01
2088,-20.79,0.01
2108,-20,0.05
2128,-20.37,-0.16
2148,-20.89,-0.3
2168,-20.89,-0.17
2188,-20.78,-0.04
2208,-20.73,0.08
2228,-20.8,0.14
2248,-21.04,-0.01
2268,-21.57,-0.17
2288,-21.47,-0.04
2308,-21.07,-0.03
2328,-21.27,0.03
2348,-21.2,0.02
2368,-21.32,0.01
2388,-21.06,0.03
2408,-20.96,0
2428,-21.42,-0.08
2448,-21.74,-0.08
2467,-21.64,-0.02
2487,-21.43,-0.05
2507,-21.28,-0.06
2527,-21.1,0.07
2547,-21.01,0.23
2567,-21.3,0.2
2587,-21.84,0.19
2607,-21.68,0.35
2627,-21.38,0.33
2647,-21.3,0.26
2667,-21.46,0.33
2687,-21.46,0.31
2707,-21.06,0.26
2727,-20.69,0.24
2747,-20.56,0.26
2767,-20.69,0.29
2787,-21.03,0.31
2807,-21.4,0.3
2827,-21.25,0.25
2847,-20.58,0.22
2867,-20.88,0.39
2887,-21.47,0.32
2907,-21.71,0.25
2927,-21.38,0.29
2947,-20.91,0.24
2967,-21.04,0.09
2987,-21.01,0.09
3007,-20.75,0.25
3027,-21.09,0.38
3047,-20.68,0.37
3067,-20.46,0.28
3087,-20.7,0.17
3107,-20.38,0.19
3127,-20.8,0.23
3147,-21.65,-0.06
3167,-22.77,-1.06
3187,-24.14,-2.9
3207,-23.49,-1.62
3227,-22.31,0.39
3247,-22.22,0.44
3267,-22.08,0.45
3287,-21.86,0.33
3307,-21.55,0.23
3327,-21.19,0.4
3347,-21.18,0.48
3367,-21.18,0.46
3387,-21.13,0.38
