"","Age","d13C","d15N"
"1",-30,-25.74,1.24
"2",190,-24.78,1.29
"3",410,-23.93,1.46
"4",629,-24.32,1.72
"5",849,-23.08,1.86
"6",1069,-23.15,1.51
"7",1289,-23.46,1.54
"8",1508,-23.32,1.51
"9",1728,-21.83,1.26
"10",1948,-22.83,1.67
"11",2168,-21.8,1.63
"12",2388,-22.13,1.43
"13",2607,-22.05,1.1
"14",2827,-22.95,1.47
"15",3047,-23.13,1.56
"16",3267,-24.08,1.33
"17",3486,-23.31,1.79
"18",3706,-22.41,1.92
"19",3926,-23.16,1.27
"20",4146,-23.65,1.44
"21",4366,-25.01,1.99
"22",4585,-23.17,1.83
"23",4805,-23.2,1.8
"24",5025,-23.42,1.53
"25",5245,-24,1.41
"26",5465,-22.62,1.77
"27",5684,-21.04,1.46
"28",5904,-23.18,2.22
"29",6124,-23.58,1.94
"30",6344,-24.79,1.66
"31",6563,-23.66,2.43
"32",6783,-24.12,2.22
"33",7003,-21.88,2.01
"34",7223,-23.43,2.16
"35",7443,-23.36,2.01
"36",7662,-23.34,2.21
"37",7882,-24.12,2.37
