Age,d13C,d15N
-30,-25.74,1.24
-10,-24.83,1.1
10,-23.91,1.3
30,-24.64,1.68
50,-24.62,1.58
70,-24.84,1.18
90,-24.59,1.2
110,-24.38,1.09
130,-25.1,1.16
150,-24.55,0.95
170,-24.88,1.34
190,-24.78,1.29
210,-24.4,1.18
230,-24.74,1.28
250,-23.98,1.04
270,-24.51,1.38
290,-25.29,1.29
310,-23.96,1.36
330,-24.31,1.34
350,-24.25,1.15
370,-23.91,1.17
390,-23.94,1.32
410,-23.93,1.46
430,-23.57,1.08
450,-23.36,1.2
469,-23.59,1.34
489,-23.46,1.33
509,-23.55,1.08
529,-23.43,1.32
549,-23.24,1.67
569,-23.07,1.66
589,-24.15,1.51
609,-23.84,1.66
629,-24.32,1.72
649,-23.53,2.08
669,-23.53,1.73
689,-23.38,1.69
709,-22.96,1.6
729,-23.49,1.87
749,-23.04,1.8
769,-22.84,1.69
789,-23.06,1.94
809,-22.91,1.76
829,-22.96,1.66
849,-23.08,1.86
869,-23.44,1.9
889,-22.76,1.76
909,-22.75,1.57
929,-23.41,1.63
949,-23.88,1.81
969,-23.3,1.73
989,-23.82,1.79
1009,-24.54,1.51
1029,-23.72,1.51
1049,-22.96,1.65
1069,-23.15,1.51
1089,-22.22,1.3
1109,-23.02,1.22
1129,-22.46,0.98
1149,-22.95,1.09
1169,-22.74,1.1
1189,-23.4,1.15
1209,-22.99,1.41
1229,-22.99,1.37
1249,-23.02,1.21
1269,-22.95,1.21
1289,-23.46,1.54
1309,-23.35,1.88
1329,-23.07,1.71
1349,-22.98,1.63
1369,-23.13,1.68
1389,-22.56,1.62
1409,-22.82,1.65
1429,-22.99,1.51
1449,-22.85,1.28
1468,-22.88,1.21
1488,-23.18,1.38
1508,-23.32,1.51
1528,-22.8,1.41
1548,-22.2,1.29
1568,-22.08,1.26
1588,-22.26,1.29
1608,-22.43,1.33
1628,-22.42,1.4
1648,-22.37,1.47
1668,-22.32,1.54
1688,-23.01,1.34
1708,-21.84,1.42
1728,-21.83,1.26
