
#################################################################
# Summary Statistics
#################################################################

DIC = 50.37702

                           Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Epsilon.1                 2.131 1.612 0.272 0.364 1.036 1.762 2.746 5.370 6.610
Epsilon.2                 0.236 0.203 0.028 0.045 0.113 0.186 0.292 0.588 0.748
Age.SD                    0.851 0.991 0.035 0.068 0.295 0.617 1.075 2.224 3.094
p.global.Algae            0.165 0.155 0.006 0.012 0.053 0.118 0.220 0.489 0.609
p.global.Aquatic_plants   0.035 0.032 0.001 0.003 0.013 0.027 0.048 0.093 0.113
p.global.Soil             0.759 0.163 0.310 0.421 0.696 0.803 0.869 0.936 0.948
p.global.Terrestrial      0.041 0.037 0.001 0.003 0.013 0.032 0.059 0.113 0.130
p.-50.Algae               0.139 0.175 0.001 0.002 0.026 0.080 0.180 0.521 0.711
p.1,009.00.Algae          0.136 0.171 0.001 0.002 0.024 0.078 0.178 0.487 0.685
p.2,008.00.Algae          0.145 0.172 0.001 0.003 0.029 0.089 0.190 0.514 0.671
p.2,388.00.Algae          0.219 0.250 0.002 0.004 0.038 0.116 0.309 0.807 0.924
p.3,007.00.Algae          0.160 0.195 0.001 0.003 0.030 0.091 0.214 0.608 0.779
p.4,006.00.Algae          0.141 0.174 0.001 0.003 0.028 0.080 0.182 0.514 0.682
p.4,046.00.Algae          0.146 0.183 0.001 0.002 0.028 0.084 0.185 0.548 0.735
p.5,005.00.Algae          0.146 0.174 0.001 0.002 0.029 0.087 0.191 0.508 0.666
p.6,004.00.Algae          0.190 0.221 0.001 0.004 0.033 0.104 0.255 0.697 0.843
p.7,003.00.Algae          0.175 0.195 0.001 0.004 0.041 0.107 0.231 0.606 0.774
p.7,562.00.Algae          0.208 0.219 0.002 0.007 0.049 0.129 0.281 0.700 0.868
p.7,922.00.Algae          0.223 0.222 0.004 0.009 0.059 0.145 0.315 0.718 0.852
p.8,002.00.Algae          0.221 0.223 0.003 0.008 0.058 0.146 0.306 0.716 0.846
p.-50.Aquatic_plants      0.025 0.028 0.000 0.000 0.006 0.016 0.035 0.080 0.103
p.1,009.00.Aquatic_plants 0.026 0.029 0.000 0.000 0.006 0.017 0.036 0.081 0.103
p.2,008.00.Aquatic_plants 0.029 0.030 0.000 0.000 0.007 0.020 0.041 0.088 0.109
p.2,388.00.Aquatic_plants 0.027 0.029 0.000 0.000 0.006 0.018 0.037 0.083 0.103
p.3,007.00.Aquatic_plants 0.026 0.028 0.000 0.000 0.006 0.017 0.037 0.083 0.103
p.4,006.00.Aquatic_plants 0.027 0.029 0.000 0.000 0.006 0.018 0.037 0.082 0.104
p.4,046.00.Aquatic_plants 0.028 0.031 0.000 0.000 0.006 0.018 0.038 0.085 0.109
p.5,005.00.Aquatic_plants 0.028 0.031 0.000 0.001 0.006 0.019 0.039 0.089 0.109
p.6,004.00.Aquatic_plants 0.028 0.031 0.000 0.001 0.006 0.019 0.040 0.087 0.104
p.7,003.00.Aquatic_plants 0.038 0.042 0.000 0.001 0.009 0.025 0.054 0.114 0.142
p.7,562.00.Aquatic_plants 0.053 0.058 0.000 0.001 0.011 0.033 0.075 0.170 0.212
p.7,922.00.Aquatic_plants 0.080 0.093 0.000 0.001 0.015 0.043 0.115 0.270 0.317
p.8,002.00.Aquatic_plants 0.077 0.087 0.000 0.002 0.014 0.044 0.112 0.257 0.304
p.-50.Soil                0.801 0.185 0.220 0.402 0.746 0.850 0.924 0.986 0.994
p.1,009.00.Soil           0.806 0.182 0.231 0.436 0.747 0.852 0.928 0.986 0.995
p.2,008.00.Soil           0.791 0.182 0.251 0.414 0.736 0.837 0.912 0.982 0.992
p.2,388.00.Soil           0.708 0.251 0.037 0.133 0.601 0.794 0.891 0.973 0.985
p.3,007.00.Soil           0.777 0.201 0.143 0.321 0.716 0.834 0.912 0.980 0.991
p.4,006.00.Soil           0.797 0.184 0.233 0.400 0.739 0.848 0.919 0.983 0.992
p.4,046.00.Soil           0.795 0.191 0.200 0.383 0.739 0.846 0.922 0.985 0.994
p.5,005.00.Soil           0.789 0.183 0.249 0.393 0.728 0.837 0.911 0.981 0.992
p.6,004.00.Soil           0.737 0.226 0.089 0.226 0.647 0.807 0.896 0.978 0.988
p.7,003.00.Soil           0.736 0.203 0.152 0.299 0.660 0.791 0.874 0.962 0.981
p.7,562.00.Soil           0.686 0.220 0.061 0.200 0.590 0.744 0.844 0.935 0.957
p.7,922.00.Soil           0.630 0.232 0.035 0.140 0.505 0.686 0.807 0.914 0.939
p.8,002.00.Soil           0.640 0.231 0.043 0.131 0.523 0.701 0.809 0.917 0.947
p.-50.Terrestrial         0.034 0.040 0.000 0.000 0.006 0.022 0.049 0.108 0.134
p.1,009.00.Terrestrial    0.032 0.037 0.000 0.000 0.006 0.020 0.047 0.103 0.123
p.2,008.00.Terrestrial    0.035 0.041 0.000 0.000 0.006 0.023 0.051 0.108 0.130
p.2,388.00.Terrestrial    0.046 0.056 0.000 0.001 0.009 0.029 0.065 0.144 0.177
p.3,007.00.Terrestrial    0.037 0.040 0.000 0.000 0.007 0.024 0.054 0.115 0.141
p.4,006.00.Terrestrial    0.036 0.041 0.000 0.000 0.007 0.023 0.052 0.111 0.136
p.4,046.00.Terrestrial    0.032 0.035 0.000 0.000 0.006 0.020 0.047 0.100 0.119
p.5,005.00.Terrestrial    0.037 0.040 0.000 0.000 0.007 0.024 0.054 0.113 0.142
p.6,004.00.Terrestrial    0.045 0.051 0.000 0.001 0.009 0.029 0.067 0.145 0.173
p.7,003.00.Terrestrial    0.051 0.053 0.000 0.001 0.011 0.033 0.074 0.161 0.197
p.7,562.00.Terrestrial    0.054 0.057 0.000 0.001 0.012 0.036 0.077 0.170 0.209
p.7,922.00.Terrestrial    0.067 0.071 0.000 0.001 0.015 0.043 0.095 0.213 0.269
p.8,002.00.Terrestrial    0.062 0.065 0.000 0.001 0.014 0.040 0.089 0.200 0.244
