
#################################################################
# Summary Statistics
#################################################################

                                  Mean    SD  2.5%   25%    50%    75%  97.5%
Epsilon.1                       12.675 4.735 3.620 8.912 13.351 16.705 19.637
Epsilon.2                        4.815 3.462 0.316 2.196  4.432  6.393 14.118
Age.SD                           0.128 0.063 0.044 0.081  0.116  0.163  0.278
p.Mosses                         0.602 0.056 0.464 0.564  0.609  0.642  0.697
p.Plankton                       0.337 0.038 0.256 0.312  0.341  0.364  0.407
p.Terrestrial_plants             0.062 0.035 0.011 0.034  0.054  0.079  0.146
p.Mosses.Age -57                 0.579 0.074 0.414 0.535  0.586  0.632  0.708
p.Plankton.Age -57               0.601 0.066 0.463 0.560  0.606  0.648  0.717
p.Terrestrial_plants.Age -57     0.600 0.068 0.453 0.556  0.602  0.644  0.729
p.Mosses.Age 185                 0.607 0.066 0.471 0.563  0.609  0.651  0.734
p.Plankton.Age 185               0.604 0.069 0.461 0.559  0.610  0.653  0.728
p.Terrestrial_plants.Age 185     0.600 0.069 0.458 0.556  0.603  0.644  0.733
p.Mosses.Age 421                 0.581 0.072 0.423 0.537  0.587  0.633  0.707
p.Plankton.Age 421               0.605 0.068 0.471 0.559  0.607  0.652  0.737
p.Terrestrial_plants.Age 421     0.606 0.066 0.468 0.561  0.607  0.652  0.725
p.Mosses.Age 644.5               0.603 0.066 0.463 0.561  0.606  0.649  0.726
p.Plankton.Age 644.5             0.335 0.052 0.227 0.302  0.337  0.370  0.435
p.Terrestrial_plants.Age 644.5   0.062 0.036 0.012 0.034  0.054  0.080  0.149
p.Mosses.Age 856                 0.601 0.068 0.451 0.554  0.606  0.647  0.724
p.Plankton.Age 856               0.337 0.054 0.224 0.304  0.339  0.372  0.435
p.Terrestrial_plants.Age 856     0.062 0.038 0.012 0.033  0.052  0.083  0.158
p.Mosses.Age 1254                0.606 0.068 0.466 0.563  0.608  0.652  0.733
p.Plankton.Age 1254              0.332 0.055 0.214 0.300  0.337  0.370  0.429
p.Terrestrial_plants.Age 1254    0.061 0.037 0.012 0.033  0.052  0.082  0.151
p.Mosses.Age 1638                0.598 0.068 0.453 0.553  0.604  0.644  0.725
p.Plankton.Age 1638              0.340 0.053 0.225 0.310  0.341  0.375  0.444
p.Terrestrial_plants.Age 1638    0.062 0.037 0.012 0.034  0.053  0.084  0.152
p.Mosses.Age 2031                0.603 0.067 0.463 0.556  0.608  0.650  0.721
p.Plankton.Age 2031              0.336 0.054 0.218 0.302  0.337  0.372  0.439
p.Terrestrial_plants.Age 2031    0.061 0.037 0.013 0.034  0.051  0.080  0.154
p.Mosses.Age 2456                0.599 0.067 0.447 0.558  0.603  0.644  0.727
p.Plankton.Age 2456              0.338 0.050 0.235 0.307  0.341  0.370  0.434
p.Terrestrial_plants.Age 2456    0.062 0.039 0.012 0.035  0.053  0.080  0.159
p.Mosses.Age 2914                0.601 0.066 0.463 0.560  0.606  0.648  0.717
p.Plankton.Age 2914              0.337 0.053 0.226 0.304  0.336  0.371  0.441
p.Terrestrial_plants.Age 2914    0.062 0.037 0.012 0.034  0.053  0.081  0.147
p.Mosses.Age 3375                0.600 0.068 0.453 0.556  0.602  0.644  0.729
p.Plankton.Age 3375              0.338 0.054 0.222 0.305  0.343  0.372  0.439
p.Terrestrial_plants.Age 3375    0.063 0.038 0.012 0.034  0.053  0.082  0.152
p.Mosses.Age 3821                0.605 0.069 0.462 0.562  0.609  0.649  0.731
p.Plankton.Age 3821              0.333 0.054 0.219 0.302  0.334  0.369  0.433
p.Terrestrial_plants.Age 3821    0.062 0.038 0.013 0.034  0.052  0.081  0.153
p.Mosses.Age 4242                0.605 0.066 0.462 0.564  0.610  0.650  0.723
p.Plankton.Age 4242              0.333 0.053 0.221 0.299  0.335  0.367  0.429
p.Terrestrial_plants.Age 4242    0.062 0.037 0.011 0.034  0.053  0.083  0.150
p.Mosses.Age 4440                0.600 0.068 0.458 0.554  0.604  0.649  0.719
p.Plankton.Age 4440              0.337 0.051 0.227 0.306  0.339  0.374  0.429
p.Terrestrial_plants.Age 4440    0.062 0.038 0.012 0.034  0.053  0.081  0.157
p.Mosses.Age 4629                0.612 0.070 0.470 0.565  0.615  0.657  0.749
p.Plankton.Age 4629              0.324 0.057 0.186 0.293  0.330  0.363  0.427
p.Terrestrial_plants.Age 4629    0.064 0.040 0.011 0.035  0.053  0.084  0.170
p.Mosses.Age 4807.5              0.601 0.068 0.456 0.559  0.605  0.648  0.722
p.Plankton.Age 4807.5            0.337 0.055 0.226 0.303  0.338  0.372  0.445
p.Terrestrial_plants.Age 4807.5  0.062 0.037 0.012 0.034  0.053  0.081  0.153
p.Mosses.Age 4974                0.594 0.066 0.457 0.548  0.600  0.641  0.712
p.Plankton.Age 4974              0.344 0.051 0.241 0.311  0.344  0.378  0.444
p.Terrestrial_plants.Age 4974    0.062 0.037 0.011 0.034  0.053  0.081  0.154
p.Mosses.Age 5126.5              0.617 0.072 0.473 0.570  0.618  0.663  0.752
p.Plankton.Age 5126.5            0.318 0.059 0.184 0.284  0.323  0.357  0.418
p.Terrestrial_plants.Age 5126.5  0.065 0.044 0.013 0.033  0.054  0.086  0.172
p.Mosses.Age 5389.5              0.594 0.067 0.452 0.553  0.600  0.643  0.709
p.Plankton.Age 5389.5            0.343 0.050 0.244 0.310  0.345  0.376  0.442
p.Terrestrial_plants.Age 5389.5  0.063 0.038 0.013 0.034  0.054  0.082  0.153
p.Mosses.Age 5500                0.604 0.069 0.461 0.559  0.610  0.653  0.728
p.Plankton.Age 5500              0.334 0.056 0.216 0.299  0.337  0.373  0.440
p.Terrestrial_plants.Age 5500    0.062 0.038 0.012 0.033  0.053  0.082  0.154
p.Mosses.Age 5598                0.600 0.069 0.458 0.556  0.603  0.644  0.733
p.Plankton.Age 5598              0.338 0.053 0.227 0.306  0.341  0.373  0.440
p.Terrestrial_plants.Age 5598    0.062 0.038 0.012 0.034  0.053  0.082  0.153
p.Mosses.Age 5765.5              0.592 0.068 0.444 0.549  0.597  0.637  0.712
p.Plankton.Age 5765.5            0.347 0.052 0.240 0.315  0.346  0.381  0.451
p.Terrestrial_plants.Age 5765.5  0.061 0.036 0.012 0.034  0.053  0.081  0.150
p.Mosses.Age 5838                0.598 0.066 0.455 0.556  0.603  0.643  0.715
p.Plankton.Age 5838              0.340 0.051 0.238 0.306  0.342  0.373  0.439
p.Terrestrial_plants.Age 5838    0.062 0.037 0.012 0.035  0.053  0.081  0.145
p.Mosses.Age 5906                0.598 0.067 0.459 0.553  0.603  0.645  0.721
p.Plankton.Age 5906              0.340 0.052 0.228 0.307  0.343  0.375  0.440
p.Terrestrial_plants.Age 5906    0.062 0.037 0.013 0.034  0.054  0.081  0.148
p.Mosses.Age 5969                0.602 0.064 0.468 0.558  0.606  0.646  0.721
p.Plankton.Age 5969              0.336 0.051 0.233 0.303  0.338  0.369  0.433
p.Terrestrial_plants.Age 5969    0.062 0.037 0.012 0.034  0.053  0.082  0.146
p.Mosses.Age 6087                0.605 0.067 0.461 0.562  0.612  0.650  0.725
p.Plankton.Age 6087              0.333 0.052 0.222 0.301  0.335  0.367  0.436
p.Terrestrial_plants.Age 6087    0.061 0.037 0.011 0.034  0.052  0.079  0.153
p.Mosses.Age 6196                0.599 0.067 0.449 0.558  0.604  0.645  0.717
p.Plankton.Age 6196              0.339 0.051 0.238 0.307  0.339  0.367  0.443
p.Terrestrial_plants.Age 6196    0.062 0.037 0.012 0.034  0.053  0.083  0.149
p.Mosses.Age 6303                0.603 0.067 0.465 0.559  0.608  0.647  0.725
p.Plankton.Age 6303              0.335 0.052 0.225 0.302  0.337  0.370  0.429
p.Terrestrial_plants.Age 6303    0.062 0.037 0.012 0.034  0.054  0.081  0.147
p.Mosses.Age 6410                0.603 0.064 0.469 0.564  0.607  0.643  0.722
p.Plankton.Age 6410              0.335 0.051 0.232 0.305  0.336  0.368  0.430
p.Terrestrial_plants.Age 6410    0.062 0.037 0.012 0.034  0.054  0.081  0.153
p.Mosses.Age 6517                0.605 0.068 0.471 0.559  0.607  0.652  0.737
p.Plankton.Age 6517              0.334 0.053 0.216 0.302  0.337  0.369  0.430
p.Terrestrial_plants.Age 6517    0.062 0.037 0.012 0.033  0.054  0.081  0.152
p.Mosses.Age 6730                0.606 0.066 0.468 0.561  0.607  0.652  0.725
p.Plankton.Age 6730              0.333 0.051 0.225 0.302  0.336  0.367  0.427
p.Terrestrial_plants.Age 6730    0.061 0.036 0.012 0.034  0.053  0.080  0.150
p.Mosses.Age 6837                0.620 0.066 0.484 0.573  0.620  0.666  0.742
p.Plankton.Age 6837              0.319 0.052 0.201 0.288  0.324  0.356  0.406
p.Terrestrial_plants.Age 6837    0.061 0.037 0.013 0.034  0.053  0.079  0.154
p.Mosses.Age 6943                0.583 0.076 0.404 0.541  0.594  0.632  0.707
p.Plankton.Age 6943              0.354 0.059 0.250 0.318  0.348  0.384  0.498
p.Terrestrial_plants.Age 6943    0.064 0.039 0.012 0.034  0.053  0.084  0.157
p.Mosses.Age 7050                0.572 0.082 0.373 0.530  0.582  0.626  0.706
p.Plankton.Age 7050              0.364 0.068 0.249 0.323  0.358  0.395  0.529
p.Terrestrial_plants.Age 7050    0.065 0.040 0.012 0.034  0.055  0.084  0.159
p.Mosses.Age 7157                0.603 0.066 0.466 0.564  0.608  0.650  0.723
p.Plankton.Age 7157              0.335 0.050 0.229 0.303  0.337  0.368  0.432
p.Terrestrial_plants.Age 7157    0.061 0.037 0.012 0.033  0.052  0.080  0.150
